pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,0,visible,284.901,214.668,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,1,visible,282.802,214.336,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,2,visible,280.703,214.004,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,3,visible,278.604,213.672,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,4,visible,276.505,213.34,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,5,visible,274.406,213.008,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,6,visible,272.307,212.676,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,7,visible,270.208,212.344,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,8,visible,268.109,212.012,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,9,visible,266.01,211.68,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,10,visible,263.911,211.348,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,11,visible,261.812,211.016,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,12,visible,259.713,210.684,2.125,279,0.1,0,0.1,287,215
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,13,visible,257.614,210.352,2.125,279,0.1,0,0.1,287,215
