pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,0,visible,377.079,41.442,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,1,visible,379.158,41.884,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,2,visible,381.237,42.326,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,3,visible,383.316,42.768,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,4,visible,385.395,43.21,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,5,visible,387.474,43.652,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,6,visible,389.553,44.094,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,7,visible,391.632,44.536,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,8,visible,393.711,44.978,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,9,visible,395.79,45.42,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,10,visible,397.869,45.862,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,11,visible,399.948,46.304,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,12,visible,402.027,46.746,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,13,visible,404.106,47.188,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,14,visible,406.185,47.63,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,15,visible,408.264,48.072,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,16,visible,410.343,48.514,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,17,visible,412.422,48.956,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,18,visible,414.501,49.398,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,19,visible,416.58,49.84,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,20,visible,418.659,50.282,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,21,visible,420.738,50.724,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,22,visible,422.817,51.166,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,0,visible,424.896,51.608,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,1,visible,426.975,52.05,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,2,visible,429.054,52.492,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,3,visible,431.133,52.934,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,4,visible,433.212,53.376,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,5,visible,435.291,53.818,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,6,visible,437.37,54.26,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,7,visible,439.449,54.702,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,8,visible,441.528,55.144,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,9,visible,443.607,55.586,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,10,visible,445.686,56.028,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,11,visible,447.765,56.47,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,12,visible,449.844,56.912,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,13,visible,451.923,57.354,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,14,visible,454.002,57.796,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,15,visible,456.081,58.238,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,16,visible,458.16,58.68,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,17,visible,460.239,59.122,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,18,visible,462.318,59.564,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,19,visible,464.397,60.006,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,20,visible,466.476,60.448,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,21,visible,468.555,60.89,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,22,visible,470.634,61.332,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,23,visible,472.713,61.774,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,24,visible,474.792,62.216,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,25,visible,476.871,62.658,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,26,visible,478.95,63.1,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,27,visible,481.029,63.542,2.125,102,0.1,0,0.1,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,28,visible,482.5,63.984,2.125,102,0,0,0,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,29,visible,482.5,64.426,2.125,102,0,0,0,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,30,visible,482.5,64.868,2.125,102,0,0,0,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,31,visible,482.5,65.31,2.125,102,0,0,0,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,32,visible,482.5,65.752,2.125,102,0,0,0,375,41
8443-271d0417-6a74-4600-b9ff-7e100bceb563,8443-271d0417-6a74-4600-b9ff-7e100bceb563,33,visible,482.5,66.194,2.125,102,0,0,0,375,41
