pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,0,hidden,327.661,213.497,2.125,211,0.51,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,0,visible,265,178.875,2.125,180,0.8200000000000001,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,0,visible,61.278,115.562,7.125,139,0.21999999999999997,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,1,hidden,326.567,215.318,2.125,211,0.51,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,1,visible,265,181,2.125,180,0.81,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,1,visible,65.952,120.939,7.125,139,0.24,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,2,hidden,325.473,217.139,2.125,211,0.52,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,2,visible,265,183.125,2.125,180,0.8,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,2,visible,70.626,126.316,7.125,139,0.27,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,3,hidden,324.379,218.96,2.125,211,0.51,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,3,visible,265,185.25,2.125,180,0.78,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,3,visible,75.3,131.693,7.125,139,0.27,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,4,hidden,323.285,220.781,2.125,211,0.49,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,4,visible,265,187.375,2.125,180,0.77,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,4,visible,79.974,137.07,7.125,139,0.28,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,5,hidden,322.191,222.602,2.125,211,0.48,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,5,visible,265,189.5,2.125,180,0.75,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,5,visible,84.648,142.447,7.125,139,0.28,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,6,hidden,321.097,224.423,2.125,211,0.48,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,6,visible,265,191.625,2.125,180,0.71,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,6,visible,89.322,147.824,7.125,139,0.30000000000000004,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,7,hidden,320.003,226.244,2.125,211,0.47,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,7,visible,265,193.75,2.125,180,0.7,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,7,visible,93.996,153.201,7.125,139,0.31000000000000005,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,8,hidden,318.909,228.065,2.125,211,0.44999999999999996,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,8,visible,265,195.875,2.125,180,0.69,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,8,visible,98.67,158.578,7.125,139,0.31999999999999995,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,9,hidden,317.815,229.886,2.125,211,0.43000000000000005,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,9,visible,265,198,2.125,180,0.6699999999999999,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,9,visible,104.577,162.562,7.125,124,0.33999999999999997,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,10,hidden,316.721,231.707,2.125,211,0.43000000000000005,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,10,visible,265,200.125,2.125,180,0.6599999999999999,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,10,visible,111.701,162.438,7.125,89,0.35,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,11,hidden,315.627,233.528,2.125,211,0.43000000000000005,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,11,visible,265,202.25,2.125,180,0.64,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,11,visible,117.078,157.764,7.125,49,0.35,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,12,hidden,314.533,235.349,2.125,211,0.42000000000000004,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,12,visible,265,204.375,2.125,180,0.62,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,12,visible,116.333,150.678,7.125,354,0.36,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,13,hidden,313.439,237.17,2.125,211,0.4,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,13,visible,265,206.5,2.125,180,0.61,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,13,visible,115.588,143.592,7.125,354,0.35,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,14,hidden,312.345,238.991,2.125,211,0.4,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,14,visible,265,208.625,2.125,180,0.5900000000000001,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,14,visible,114.843,136.506,7.125,354,0.33999999999999997,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,15,hidden,311.251,240.812,2.125,211,0.41000000000000003,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,15,visible,265,210.75,2.125,180,0.5700000000000001,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,15,visible,114.098,129.42,7.125,354,0.33999999999999997,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,16,hidden,310.157,242.633,2.125,211,0.4,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,16,visible,265,212.875,2.125,180,0.55,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,16,visible,115.822,122.507,7.125,14,0.33999999999999997,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,17,hidden,309.063,244.454,2.125,211,0.37,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,17,visible,265,215,2.125,180,0.54,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,17,visible,121.199,117.833,7.125,49,0.33999999999999997,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,18,hidden,307.969,246.275,2.125,211,0.38,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,18,visible,265,217.125,2.125,180,0.54,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,18,visible,126.576,113.159,7.125,49,0.36,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,19,hidden,306.875,248.096,2.125,211,0.36,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,19,visible,265,219.25,2.125,180,0.51,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,19,visible,131.953,108.485,7.125,49,0.39,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,20,hidden,305.781,249.917,2.125,211,0.35,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,20,visible,265,221.375,2.125,180,0.51,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,20,visible,137.33,103.811,7.125,49,0.4,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,21,hidden,304.687,251.738,2.125,211,0.32999999999999996,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,21,visible,265,223.5,2.125,180,0.5,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,21,visible,142.707,99.137,7.125,49,0.4,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,22,hidden,303.593,253.559,2.125,211,0.32999999999999996,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,22,visible,265,225.625,2.125,180,0.48,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,22,visible,149.111,96.014,7.125,64,0.39,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,23,hidden,302.499,255.38,2.125,211,0.33999999999999997,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,23,visible,265,227.75,2.125,180,0.45999999999999996,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,23,visible,155.343,99.468,7.125,119,0.42000000000000004,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,24,hidden,301.405,257.201,2.125,211,0.31000000000000005,0.02
1963-b0b9a323-0683-4f56-9613-a2af6e282731,24,visible,265,229.875,2.125,180,0.45999999999999996,0.01
3369-7827a752-dac0-430b-9ba5-eaf59faceb5e,24,visible,161.575,102.922,7.125,119,0.45999999999999996,0.01
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,25,hidden,300.311,259.022,2.125,211,0.31000000000000005,0.02
