pid,tick,latency
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,0,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,1,31
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,2,18.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,3,17.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,4,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,5,36.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,6,27.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,7,17
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,8,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,9,17
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,10,27
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,11,19.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,12,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,13,17.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,14,32
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,15,20.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,16,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,17,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,18,17.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,19,23
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,20,17.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,21,17
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,22,17
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,23,29.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,24,18
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,25,20
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,26,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,27,15.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,28,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,29,15.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,30,18.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,31,18.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,32,25.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,33,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,34,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,35,17.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,36,15.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,37,18
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,38,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,39,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,40,34.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,41,24.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,42,22.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,43,17
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,44,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,45,26.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,46,18
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,47,16.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,48,16
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,49,33
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,50,21.5
5891-3034707d-265b-4a9d-8e2b-566f17e7531c,51,16.5
