pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,facing-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,copying-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,51,visible,369.477,248.736,7.125,293,0.010000000000000007,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,52,visible,362.918,245.952,7.125,293,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,53,visible,356.35900000000004,243.168,7.125,293,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,54,visible,349.8,240.38400000000001,7.125,293,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,55,visible,343.241,237.6,7.125,293,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,56,visible,336.68199999999996,234.81599999999997,7.125,293,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,57,visible,334.726,233.986,2.125,293,0.020000000000000014,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,58,visible,332.77,233.15599999999998,2.125,293,0.030000000000000027,0.01,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,59,visible,331.216,231.707,2.125,313,0.05000000000000005,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,60,visible,330.957,229.59799999999998,2.125,353,0.06000000000000005,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,61,visible,332.11400000000003,227.81599999999997,2.125,33,0.06999999999999995,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,62,visible,334.084,227.02,2.125,68,0.07999999999999996,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,63,visible,336.105,227.67700000000002,2.125,108,0.07999999999999996,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,64,visible,337.384,229.37400000000002,2.125,143,0.06999999999999995,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,65,visible,337.088,231.47799999999998,2.125,188,0.05000000000000005,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,66,visible,336.792,233.582,2.125,188,0.05000000000000005,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,67,visible,336.496,235.68599999999998,2.125,188,0.05000000000000005,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,68,visible,335.18800000000005,237.361,2.125,218,0.05000000000000005,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,69,visible,333.88,239.03599999999997,2.125,218,0.040000000000000036,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,70,visible,332.57199999999995,240.71099999999998,2.125,218,0.040000000000000036,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,71,visible,331.264,242.386,2.125,218,0.020000000000000014,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,72,visible,329.95599999999996,244.06099999999998,2.125,218,0.040000000000000036,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,73,visible,330.786,242.105,2.125,23,0.06000000000000005,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,74,visible,331.616,240.149,2.125,23,0.06000000000000005,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,75,visible,332.44599999999997,238.19299999999998,2.125,23,0.06000000000000005,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
