pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-2049-efe2cd11-0391-4158-9390-80a98d380ed3,facing-2049-efe2cd11-0391-4158-9390-80a98d380ed3,copying-2049-efe2cd11-0391-4158-9390-80a98d380ed3,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
2049-efe2cd11-0391-4158-9390-80a98d380ed3,0,visible,433.256,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,1,visible,434.35,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,2,visible,435.444,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,3,visible,436.538,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,4,visible,437.63199999999995,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,5,visible,438.726,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,6,visible,439.82,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,7,visible,440.914,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,8,visible,442.00800000000004,277.5,2.125,149,0.0,0.0,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,9,visible,443.102,277.5,2.125,149,0.0,0.0,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,10,visible,444.351,277.5,2.125,144,0.0,0.0,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,11,visible,446.413,277.5,2.125,104,0.0,0.0,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,12,visible,448.397,276.738,2.125,69,0.95,0.0,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,13,visible,449.42699999999996,274.879,2.125,29,0.94,0.01,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,14,visible,449.205,272.76599999999996,2.125,354,0.87,0.01,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,15,visible,447.676,271.29,2.125,314,0.84,0.01,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,16,visible,445.81699999999995,270.26,2.125,299,0.75,0.01,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,17,visible,443.958,269.23,2.125,299,0.79,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,18,visible,442.099,268.2,2.125,299,0.86,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,19,visible,440.44800000000004,266.863,2.125,309,0.73,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,20,visible,439.86199999999997,264.82,2.125,344,0.65,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,21,visible,439.276,262.777,2.125,344,0.5,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,22,visible,438.69,260.73400000000004,2.125,344,0.54,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,23,visible,438.10400000000004,258.691,2.125,344,0.46,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,24,visible,437.51800000000003,256.64799999999997,2.125,344,0.47,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2049-efe2cd11-0391-4158-9390-80a98d380ed3,25,visible,436.93199999999996,254.605,2.125,344,0.5,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
