pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,facing-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,copying-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,17,visible,277.857,183.945,2.125,116,0.34,0.6,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,18,visible,279.767,184.877,2.125,116,0.35,0.6,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,19,visible,281.677,185.80900000000003,2.125,116,0.36,0.6,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,20,visible,283.587,186.74099999999999,2.125,116,0.35,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,21,visible,285.497,187.673,2.125,116,0.33,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,22,visible,287.407,188.605,2.125,116,0.33,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,23,visible,289.317,189.537,2.125,116,0.31999999999999995,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,24,visible,291.22700000000003,190.46900000000002,2.125,116,0.31000000000000005,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,25,visible,293.137,191.40099999999998,2.125,116,0.31000000000000005,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,26,visible,295.047,192.333,2.125,116,0.30000000000000004,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,27,visible,296.957,193.265,2.125,116,0.29000000000000004,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,28,visible,298.867,194.197,2.125,116,0.27,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,29,visible,300.777,195.12900000000002,2.125,116,0.26,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,30,visible,302.687,196.06099999999998,2.125,116,0.25,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,31,visible,304.597,196.993,2.125,116,0.24,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,32,visible,306.507,197.925,2.125,116,0.22,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,33,visible,308.41700000000003,198.857,2.125,116,0.21,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,34,visible,310.327,199.78900000000002,2.125,116,0.2,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,35,visible,312.237,200.72099999999998,2.125,116,0.18999999999999995,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,36,visible,314.147,201.653,2.125,116,0.2,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,37,visible,316.057,202.585,2.125,116,0.18999999999999995,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,38,visible,317.967,203.517,2.125,116,0.18000000000000005,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,39,visible,319.877,204.449,2.125,116,0.18999999999999995,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,40,visible,321.78700000000003,205.38099999999997,2.125,116,0.2,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,41,visible,323.697,206.313,2.125,116,0.18000000000000005,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,42,visible,325.607,207.245,2.125,116,0.17000000000000004,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
