pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-9467-645a1356-9588-4f00-aeef-0adf33505a0f,facing-9467-645a1356-9588-4f00-aeef-0adf33505a0f,copying-9467-645a1356-9588-4f00-aeef-0adf33505a0f,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
9467-645a1356-9588-4f00-aeef-0adf33505a0f,21,visible,80.627,76.503,2.125,119,0.73,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,22,visible,82.486,77.533,2.125,119,0.75,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,23,visible,84.345,78.563,2.125,119,0.73,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,24,visible,86.204,79.593,2.125,119,0.73,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,25,visible,88.06299999999999,80.623,2.125,119,0.71,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,26,visible,89.92200000000001,81.653,2.125,119,0.6799999999999999,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,27,visible,91.781,82.68299999999999,2.125,119,0.6599999999999999,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,28,visible,93.64,83.713,2.125,119,0.6699999999999999,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,29,visible,95.499,84.743,2.125,119,0.7,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,30,visible,97.35799999999999,85.773,2.125,119,0.6599999999999999,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,31,visible,99.21700000000001,86.803,2.125,119,0.72,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,32,visible,101.07600000000001,87.833,2.125,119,0.7,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,33,visible,102.935,88.863,2.125,119,0.71,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,34,visible,104.794,89.89299999999999,2.125,119,0.72,0.41,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,35,visible,106.65299999999999,90.92299999999999,2.125,119,0.72,0.41,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,36,visible,108.662,91.615,2.125,109,0.77,0.41,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,37,visible,110.775,91.39299999999999,2.125,84,0.81,0.42,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,38,visible,112.861,90.988,2.125,79,0.8,0.42,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
