pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,facing-2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,copying-2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,0,visible,112.021,140.863,2.125,325,0.040000000000000036,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,1,visible,110.802,139.122,2.125,325,0.030000000000000027,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,2,visible,109.583,137.381,2.125,325,0.010000000000000007,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,3,visible,108.36399999999999,135.64,2.125,325,0.010000000000000007,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,4,visible,107.145,133.899,2.125,325,0.0,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,5,visible,105.926,132.158,2.125,325,0.0,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,6,visible,104.70700000000001,130.417,2.125,325,0.0,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,7,visible,103.488,128.67600000000002,2.125,325,0.010000000000000007,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,8,visible,102.26899999999999,126.935,2.125,325,0.010000000000000007,0.61,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,9,visible,101.20700000000001,125.095,2.125,330,0.010000000000000007,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,10,visible,101.57600000000001,123.00200000000001,2.125,10,0.010000000000000007,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,11,visible,103.204,121.63600000000001,2.125,50,0.030000000000000027,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,12,visible,105.29700000000001,121.26700000000001,2.125,80,0.030000000000000027,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,13,visible,107.39,120.898,2.125,80,0.040000000000000036,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,14,visible,109.515,120.898,2.125,90,0.06000000000000005,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
