pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,facing-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,copying-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,24,visible,228.36,223.65599999999998,2.125,222,0.52,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,25,visible,226.938,225.235,2.125,222,0.47,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,26,visible,225.516,226.81400000000002,2.125,222,0.51,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,27,visible,224.09400000000002,228.393,2.125,222,0.5,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,28,visible,222.672,229.972,2.125,222,0.49,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,29,visible,221.25,231.551,2.125,222,0.49,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,30,visible,219.828,233.13,2.125,222,0.46,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,31,visible,218.40599999999998,234.709,2.125,222,0.42,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,32,visible,216.984,236.28799999999998,2.125,222,0.42,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,33,visible,215.562,237.86700000000002,2.125,222,0.39,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,34,visible,214.14,239.446,2.125,222,0.35,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,35,visible,212.718,241.025,2.125,222,0.42,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,36,visible,211.43900000000002,242.722,2.125,217,0.39,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,37,visible,210.47400000000002,244.615,2.125,207,0.36,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,38,visible,209.50900000000001,246.50799999999998,2.125,207,0.35,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,39,visible,208.544,248.40099999999998,2.125,207,0.29000000000000004,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,40,visible,207.122,249.98,2.125,222,0.27,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,41,visible,205.34,251.137,2.125,237,0.33,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,42,visible,203.558,252.294,2.125,237,0.33,0.02,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,43,visible,201.88299999999998,253.602,2.125,232,0.39,0.02,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,44,visible,200.604,255.299,2.125,217,0.38,0.02,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,45,visible,199.47799999999998,257.101,2.125,212,0.42,0.02,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,46,visible,198.352,258.903,2.125,212,0.37,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,47,visible,197.226,260.705,2.125,212,0.39,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,48,visible,195.672,262.154,2.125,227,0.41,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,49,visible,194.118,263.603,2.125,227,0.4300000000000001,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,50,visible,192.56400000000002,265.052,2.125,227,0.38,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,51,visible,191.01,266.501,2.125,227,0.4,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,52,visible,185.799,271.36,7.125,227,0.36,0.02,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,53,visible,180.588,276.219,7.125,227,0.38,0.02,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,54,visible,179.03400000000002,277.5,2.125,227,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,55,visible,177.48,277.5,2.125,227,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,56,visible,175.926,277.5,2.125,227,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,57,visible,173.905,277.5,2.125,252,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,58,visible,171.88400000000001,277.5,2.125,252,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,59,visible,169.762,277.5,2.125,267,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,60,visible,167.638,277.426,2.125,272,0.29000000000000004,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,61,visible,165.514,277.35200000000003,2.125,272,0.28,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,62,visible,163.39,277.278,2.125,272,0.27,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,63,visible,161.266,277.204,2.125,272,0.25,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,64,visible,159.142,277.13,2.125,272,0.27,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,65,visible,157.018,277.056,2.125,272,0.21,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,66,visible,154.894,276.982,2.125,272,0.24,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,67,visible,152.77,276.908,2.125,272,0.28,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,68,visible,150.64600000000002,276.834,2.125,272,0.27,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,69,visible,148.52200000000002,276.76,2.125,272,0.29000000000000004,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,70,visible,146.398,276.686,2.125,272,0.31999999999999995,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,71,visible,144.274,276.612,2.125,272,0.28,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,72,visible,142.15,276.538,2.125,272,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,73,visible,140.026,276.464,2.125,272,0.33,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,74,visible,137.90200000000002,276.39,2.125,272,0.36,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,75,visible,135.778,276.316,2.125,272,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,76,visible,133.654,276.242,2.125,272,0.35,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,77,visible,131.53,276.168,2.125,272,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,78,visible,129.406,276.094,2.125,272,0.31999999999999995,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,79,visible,127.28200000000001,276.02,2.125,272,0.29000000000000004,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,80,visible,125.15799999999999,275.94599999999997,2.125,272,0.25,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,81,visible,123.03399999999999,275.872,2.125,272,0.23,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,82,visible,120.912,275.983,2.125,267,0.24,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,83,visible,118.891,276.64,2.125,252,0.22,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,84,visible,116.87,277.297,2.125,252,0.18999999999999995,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,85,visible,114.84899999999999,277.5,2.125,252,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,86,visible,112.82799999999999,277.5,2.125,252,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,87,visible,110.807,277.5,2.125,252,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,88,visible,108.851,277.5,2.125,247,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,89,visible,106.895,277.5,2.125,247,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,90,visible,104.939,277.5,2.125,247,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
