pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,facing-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,copying-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,39,visible,165.00799999999998,90.854,2.125,342,0.99,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,40,visible,164.351,88.833,2.125,342,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,41,visible,163.694,86.81200000000001,2.125,342,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,42,visible,163.037,84.791,2.125,342,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,43,visible,163.296,82.682,2.125,7,1.0,0.02,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,44,visible,163.555,80.57300000000001,2.125,7,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,45,visible,164.68099999999998,78.771,2.125,32,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,46,visible,165.96,77.074,2.125,37,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,47,visible,168.03099999999998,76.596,2.125,77,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,48,visible,170.102,76.118,2.125,77,1.0,0.02,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,49,visible,171.90400000000002,77.244,2.125,122,1.0,0.02,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,50,visible,173.706,78.37,2.125,122,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,51,visible,175.50799999999998,79.49600000000001,2.125,122,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,52,visible,175.804,81.6,2.125,172,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,53,visible,176.1,83.704,2.125,172,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,54,visible,174.97400000000002,85.506,2.125,212,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,55,visible,173.84799999999998,87.30799999999999,2.125,212,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,56,visible,171.972,88.306,2.125,242,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,57,visible,170.09599999999998,89.304,2.125,242,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,58,visible,168.22,90.302,2.125,242,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,59,visible,166.188,89.681,2.125,287,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,60,visible,164.15599999999998,89.06,2.125,287,1.0,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
