pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-7430-81a4eaa4-b762-45f6-926d-17d89891ff86,facing-7430-81a4eaa4-b762-45f6-926d-17d89891ff86,copying-7430-81a4eaa4-b762-45f6-926d-17d89891ff86,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,0,visible,294.927,266.405,2.125,10,0.14,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,1,visible,295.296,264.312,2.125,10,0.14,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,2,visible,295.665,262.219,2.125,10,0.16000000000000006,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,3,visible,296.034,260.126,2.125,10,0.17000000000000004,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,4,visible,296.403,258.033,2.125,10,0.17000000000000004,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,5,visible,296.772,255.94,2.125,10,0.18000000000000005,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,6,visible,297.14099999999996,253.847,2.125,10,0.18999999999999995,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,7,visible,297.51,251.75400000000002,2.125,10,0.18999999999999995,0.0,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,8,visible,297.695,249.637,2.125,5,0.2,0.0,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,9,visible,296.968,247.64,2.125,340,0.2,0.0,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,10,visible,295.60200000000003,246.012,2.125,320,0.21,0.0,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,11,visible,294.236,244.38400000000001,2.125,320,0.21,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,12,visible,292.87,242.75599999999997,2.125,320,0.22,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,13,visible,291.504,241.128,2.125,320,0.22,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
7430-81a4eaa4-b762-45f6-926d-17d89891ff86,14,visible,290.138,239.5,2.125,320,0.23,0.0,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
