pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,facing-0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,copying-0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,0,visible,189.101,106.29899999999999,7.125,210,0.45,0.25,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,1,visible,185.53799999999998,112.469,7.125,210,0.4300000000000001,0.25,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,2,visible,181.976,118.639,7.125,210,0.4300000000000001,0.25,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,3,visible,178.41299999999998,124.809,7.125,210,0.44,0.25,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,4,visible,174.851,130.97899999999998,7.125,210,0.4300000000000001,0.25,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,5,visible,171.28799999999998,137.149,7.125,210,0.42,0.25,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,6,visible,167.726,143.319,7.125,210,0.42,0.25,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,7,visible,166.66299999999998,145.159,2.125,210,0.4,0.25,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,8,visible,164.82299999999998,146.221,2.125,240,0.4,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,9,visible,162.70600000000002,146.036,2.125,275,0.41,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,10,visible,161.203,144.533,2.125,315,0.38,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,11,visible,161.018,142.416,2.125,355,0.37,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,12,visible,162.08100000000002,140.576,2.125,30,0.35,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,13,visible,164.078,139.849,2.125,70,0.37,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,14,visible,166.13099999999997,140.399,2.125,105,0.37,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,15,visible,167.35,142.14,2.125,145,0.4,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,16,visible,167.165,144.257,2.125,185,0.4,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,17,visible,165.424,145.476,2.125,235,0.38,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,18,visible,163.683,146.695,2.125,235,0.36,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,19,visible,162.18,148.19799999999998,2.125,225,0.34,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,20,visible,161.995,150.315,2.125,185,0.31999999999999995,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0028-92afb92a-77a2-4af1-a01e-cfbfe6cd94d4,21,visible,163.214,152.056,2.125,145,0.33,0.25,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
