pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0134-b92faa73-525e-44f4-8649-86f31860977d,facing-0134-b92faa73-525e-44f4-8649-86f31860977d,copying-0134-b92faa73-525e-44f4-8649-86f31860977d,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0134-b92faa73-525e-44f4-8649-86f31860977d,0,visible,205.838,276.509,2.125,72,0.55,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,1,visible,207.11700000000002,274.812,2.125,37,0.55,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,2,visible,208.396,273.115,2.125,37,0.63,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,3,visible,209.675,271.418,2.125,37,0.5800000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,4,visible,210.954,269.721,2.125,37,0.54,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,5,visible,212.233,268.024,2.125,37,0.5700000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,6,visible,213.512,266.327,2.125,37,0.5900000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,7,visible,214.791,264.63,2.125,37,0.55,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,8,visible,216.07,262.933,2.125,37,0.5800000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,9,visible,217.34900000000002,261.236,2.125,37,0.41,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,10,visible,218.475,259.434,2.125,32,0.33,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,11,visible,218.179,257.33,2.125,352,0.33,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,12,visible,217.88299999999998,255.226,2.125,352,0.29000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,13,visible,217.58700000000002,253.122,2.125,352,0.4,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,14,visible,217.291,251.018,2.125,352,0.51,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,15,visible,216.995,248.91400000000002,2.125,352,0.4300000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,16,visible,216.699,246.81,2.125,352,0.49,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,17,visible,216.403,244.706,2.125,352,0.53,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,18,visible,216.107,242.602,2.125,352,0.53,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,19,visible,215.81099999999998,240.498,2.125,352,0.52,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0134-b92faa73-525e-44f4-8649-86f31860977d,20,visible,215.515,238.394,2.125,352,0.6,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
