pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,facing-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,copying-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,32,visible,325.564,118.62700000000001,2.125,43,1.0,0.02,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,33,visible,327.013,117.073,2.125,43,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,34,visible,328.462,115.51899999999999,2.125,43,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,35,visible,329.911,113.965,2.125,43,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,36,visible,331.36,112.411,2.125,43,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,37,visible,332.809,110.85700000000001,2.125,43,1.0,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,38,visible,334.88800000000003,110.415,2.125,78,1.0,0.02,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,39,visible,336.967,109.973,2.125,78,1.0,0.02,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,40,visible,339.046,109.531,2.125,78,0.94,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,41,visible,340.625,108.109,2.125,48,0.87,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,42,visible,340.921,106.005,2.125,8,0.9,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,43,visible,339.95599999999996,104.11200000000001,2.125,333,0.95,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,44,visible,338.991,102.219,2.125,333,0.88,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
