pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,facing-1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,copying-1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,0,visible,339.256,228.976,2.125,126,0.56,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,1,visible,340.975,230.225,2.125,126,0.56,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,2,visible,342.694,231.47400000000002,2.125,126,0.54,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,3,visible,344.413,232.72299999999998,2.125,126,0.52,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,4,visible,346.538,232.76,2.125,91,0.49,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,5,visible,348.663,232.797,2.125,91,0.51,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,6,visible,350.788,232.834,2.125,91,0.52,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,7,visible,352.913,232.87099999999998,2.125,91,0.53,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,8,visible,355.038,232.908,2.125,91,0.53,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,9,visible,357.163,232.945,2.125,91,0.53,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1882-daea5a0e-0f06-4e07-b23f-8b33a39e4af9,10,visible,359.17199999999997,232.253,2.125,71,0.55,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
