pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0967-567554e2-599c-47e4-9098-7985c06963c3,facing-0967-567554e2-599c-47e4-9098-7985c06963c3,copying-0967-567554e2-599c-47e4-9098-7985c06963c3,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0967-567554e2-599c-47e4-9098-7985c06963c3,42,visible,227.243,37.786,2.125,64,0.45,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,43,visible,229.153,36.854,2.125,64,0.45,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,44,visible,231.063,35.922,2.125,64,0.45,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,45,visible,232.97299999999998,34.99,2.125,64,0.46,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,46,visible,234.88299999999998,34.058,2.125,64,0.45,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,47,visible,236.793,33.126,2.125,64,0.44,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,48,visible,238.703,32.194,2.125,64,0.41,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,49,visible,240.613,31.261999999999997,2.125,64,0.39,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,50,visible,242.523,30.33,2.125,64,0.38,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,51,visible,244.433,29.398000000000003,2.125,64,0.36,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,52,visible,246.343,28.465999999999998,2.125,64,0.37,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,53,visible,248.253,27.534000000000002,2.125,64,0.35,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,54,visible,250.16299999999998,26.601999999999997,2.125,64,0.33,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,55,visible,252.07299999999998,25.67,2.125,64,0.30000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,56,visible,253.983,24.738000000000003,2.125,64,0.30000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,57,visible,255.893,23.805999999999997,2.125,64,0.28,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,58,visible,258.006,23.584,2.125,84,0.28,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,59,visible,259.657,24.921,2.125,129,0.29000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,60,visible,261.308,26.258000000000003,2.125,129,0.28,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,61,visible,262.959,27.595,2.125,129,0.28,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,62,visible,264.61,28.932,2.125,129,0.30000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,63,visible,266.26099999999997,30.269000000000002,2.125,129,0.31999999999999995,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,64,visible,267.91200000000003,31.605999999999998,2.125,129,0.33,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,65,visible,269.563,32.943000000000005,2.125,129,0.34,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,66,visible,271.214,34.28,2.125,129,0.33,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,67,visible,272.865,35.617,2.125,129,0.35,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,68,visible,274.51599999999996,36.954,2.125,129,0.36,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,69,visible,276.16700000000003,38.291,2.125,129,0.37,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,70,visible,277.818,39.628,2.125,129,0.37,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,71,visible,279.469,40.965,2.125,129,0.38,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
