pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,facing-1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,copying-1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,0,visible,68.359,23.926,7.125,255,0.21,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,1,visible,61.477,25.77,7.125,255,0.23,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,2,visible,54.595,27.614,7.125,255,0.24,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,3,visible,52.542,28.164,2.125,255,0.23,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,4,visible,50.489,28.714000000000002,2.125,255,0.27,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,5,visible,48.43600000000001,29.264,2.125,255,0.28,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,6,visible,46.383,29.814,2.125,255,0.25,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,7,visible,44.33,30.364,2.125,255,0.27,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,8,visible,37.448,32.208,7.125,255,0.28,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,9,visible,30.566,34.052,7.125,255,0.27,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,10,visible,23.684,35.896,7.125,255,0.25,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,11,visible,16.802,37.74,7.125,255,0.23,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,12,visible,9.92,39.584,7.125,255,0.18000000000000005,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,13,visible,3.0380000000000003,41.428000000000004,7.125,255,0.16000000000000006,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,14,visible,2.5,43.272,7.125,255,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,15,visible,2.5,45.11600000000001,7.125,255,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,16,visible,2.5,46.96,7.125,255,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,17,visible,2.5,48.803999999999995,7.125,255,0.0,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
