pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-7913-8125501c-a568-487d-94b5-09e48bfbc88d,facing-7913-8125501c-a568-487d-94b5-09e48bfbc88d,copying-7913-8125501c-a568-487d-94b5-09e48bfbc88d,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
7913-8125501c-a568-487d-94b5-09e48bfbc88d,0,visible,123.17399999999999,23.7,7.125,70,0.75,0.56,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,1,visible,129.631,20.689,7.125,65,0.72,0.56,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,2,visible,132.642,14.232000000000001,7.125,25,0.6799999999999999,0.56,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,3,visible,133.369,12.235,2.125,20,0.63,0.56,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,4,visible,135.295,11.337,2.125,65,0.62,0.56,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,5,visible,137.34799999999998,10.787,2.125,75,0.62,0.56,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,6,visible,139.441,11.155999999999999,2.125,100,0.6,0.57,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,7,visible,140.80700000000002,12.784,2.125,140,0.6,0.57,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,8,visible,141.357,14.837,2.125,165,0.61,0.57,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,9,visible,140.63,16.834,2.125,200,0.64,0.57,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
7913-8125501c-a568-487d-94b5-09e48bfbc88d,10,visible,139.264,18.462,2.125,220,0.6599999999999999,0.57,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
