pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3693-466a60d6-e5e5-49da-9a27-9a4920d59028,facing-3693-466a60d6-e5e5-49da-9a27-9a4920d59028,copying-3693-466a60d6-e5e5-49da-9a27-9a4920d59028,nearby-0022-0b9569c2-36e5-455c-baf6-21babc31b132,facing-0022-0b9569c2-36e5-455c-baf6-21babc31b132,copying-0022-0b9569c2-36e5-455c-baf6-21babc31b132,nearby-4341-ac5aedaa-d234-4574-b90f-2495d7207a39,facing-4341-ac5aedaa-d234-4574-b90f-2495d7207a39,copying-4341-ac5aedaa-d234-4574-b90f-2495d7207a39,nearby-6695-99cf75fa-5faa-49d6-baa2-1a959adaaffb,facing-6695-99cf75fa-5faa-49d6-baa2-1a959adaaffb,copying-6695-99cf75fa-5faa-49d6-baa2-1a959adaaffb,nearby-0636-c8b5774b-bd0f-47c0-9eb1-c43b87117610,facing-0636-c8b5774b-bd0f-47c0-9eb1-c43b87117610,copying-0636-c8b5774b-bd0f-47c0-9eb1-c43b87117610,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,0,visible,221.705,127.10700000000001,2.125,65,0.6,0.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,True,False,
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,1,visible,223.822,127.292,2.125,95,0.56,0.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,True,False,
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,2,visible,225.93900000000002,127.477,2.125,95,0.52,0.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,True,False,
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,3,visible,233.037,128.09799999999998,7.125,95,0.48,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.5
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,4,visible,240.135,128.719,7.125,95,0.28,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.49
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,5,visible,247.233,129.34,7.125,95,0.12,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.46
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,6,visible,254.331,129.961,7.125,95,0.0,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.415
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,7,visible,261.42900000000003,130.582,7.125,95,0.0,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.41000000000000003
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,8,visible,268.527,131.203,7.125,95,0.0,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.345
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,9,visible,275.625,131.82399999999998,7.125,95,0.030000000000000027,0.56,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,True,True,0.33499999999999996
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,10,visible,277.742,132.009,2.125,95,0.18999999999999995,0.56,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,True,False,
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,11,visible,279.85900000000004,132.194,2.125,95,0.29000000000000004,0.56,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,True,False,
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,12,visible,281.699,131.131,2.125,60,0.29000000000000004,0.56,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,True,False,
3693-466a60d6-e5e5-49da-9a27-9a4920d59028,13,visible,282.597,129.205,2.125,25,0.31000000000000005,0.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,True,False,
