pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,facing-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,copying-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,25,visible,336.004,144.839,2.125,306,0.6799999999999999,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,26,visible,334.285,143.59,2.125,306,0.76,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,27,visible,332.566,142.341,2.125,306,0.76,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,28,visible,330.847,141.092,2.125,306,0.77,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,29,visible,329.12800000000004,139.843,2.125,306,0.7,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,30,visible,327.409,138.594,2.125,306,0.71,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,31,visible,325.69,137.345,2.125,306,0.79,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,32,visible,323.971,136.096,2.125,306,0.86,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,33,visible,322.252,134.847,2.125,306,0.89,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,34,visible,320.533,133.59799999999998,2.125,306,0.87,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,35,visible,318.814,132.349,2.125,306,0.85,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,36,visible,317.095,131.1,2.125,306,0.77,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,37,visible,315.376,129.851,2.125,306,0.77,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,38,visible,313.657,128.602,2.125,306,0.8,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,39,visible,311.938,127.353,2.125,306,0.79,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,40,visible,310.219,126.104,2.125,306,0.71,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,41,visible,308.5,124.855,2.125,306,0.73,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
