pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,facing-6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,copying-6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,0,visible,148.768,107.50399999999999,2.125,162,0.24,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,1,visible,149.425,109.525,2.125,162,0.31999999999999995,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,2,visible,150.082,111.546,2.125,162,0.42,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,3,visible,150.739,113.56700000000001,2.125,162,0.48,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,4,visible,151.39600000000002,115.588,2.125,162,0.54,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,5,visible,152.053,117.609,2.125,162,0.62,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,6,visible,152.71,119.63,2.125,162,0.72,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,7,visible,153.36700000000002,121.65100000000001,2.125,162,0.75,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,8,visible,154.024,123.67200000000001,2.125,162,0.75,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,9,visible,154.681,125.693,2.125,162,0.7,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,10,visible,155.338,127.714,2.125,162,0.7,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,11,visible,155.995,129.735,2.125,162,0.72,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,12,visible,156.65200000000002,131.756,2.125,162,0.64,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,13,visible,157.309,133.77700000000002,2.125,162,0.63,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,14,visible,157.966,135.798,2.125,162,0.62,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,15,visible,158.623,137.819,2.125,162,0.55,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6450-4e849ff3-57ca-4492-b0a6-17d4711259b6,16,visible,159.28,139.84,2.125,162,0.5700000000000001,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
