pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-8021-418995b0-cd5d-42f1-bb05-f7aa09216070,facing-8021-418995b0-cd5d-42f1-bb05-f7aa09216070,copying-8021-418995b0-cd5d-42f1-bb05-f7aa09216070,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,0,visible,322.872,44.896,2.125,222,0.56,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,1,visible,321.45,46.475,2.125,222,0.5800000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,2,visible,320.028,48.053999999999995,2.125,222,0.56,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,3,visible,318.606,49.633,2.125,222,0.5700000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,4,visible,317.184,51.211999999999996,2.125,222,0.5700000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,5,visible,315.762,52.791000000000004,2.125,222,0.5800000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,6,visible,314.34,54.37,2.125,222,0.5800000000000001,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,7,visible,309.572,59.665,7.125,222,0.6,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,8,visible,304.80400000000003,64.96,7.125,222,0.64,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,9,visible,300.036,70.255,7.125,222,0.6699999999999999,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,10,visible,295.268,75.55,7.125,222,0.72,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,11,visible,290.5,80.845,7.125,222,0.77,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,12,visible,285.732,86.14,7.125,222,0.83,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,13,visible,284.31,87.719,2.125,222,0.91,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,14,visible,282.888,89.29799999999999,2.125,222,0.93,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,15,visible,281.466,90.87700000000001,2.125,222,0.98,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,16,visible,280.04400000000004,92.456,2.125,222,1.0,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,17,visible,278.168,93.454,2.125,242,1.0,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,18,visible,276.059,93.195,2.125,277,1.0,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,19,visible,273.95,92.936,2.125,277,0.98,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,20,visible,272.501,91.382,2.125,317,0.93,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,21,visible,272.205,89.27799999999999,2.125,352,0.89,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,22,visible,271.909,87.17399999999999,2.125,352,0.89,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,23,visible,271.613,85.07,2.125,352,0.89,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,24,visible,271.317,82.96600000000001,2.125,352,0.86,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,25,visible,271.02099999999996,80.862,2.125,352,0.83,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,26,visible,270.725,78.758,2.125,352,0.85,0.01,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,27,visible,270.42900000000003,76.654,2.125,352,0.85,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,28,visible,270.133,74.55,2.125,352,0.83,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,29,visible,269.837,72.446,2.125,352,0.83,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,30,visible,269.541,70.342,2.125,352,0.79,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,31,visible,269.245,68.238,2.125,352,0.79,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,32,visible,268.949,66.134,2.125,352,0.79,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,33,visible,268.653,64.03,2.125,352,0.8200000000000001,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,34,visible,268.357,61.926,2.125,352,0.79,0.02,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
8021-418995b0-cd5d-42f1-bb05-f7aa09216070,35,visible,266.481,62.924,2.125,242,0.78,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
