pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-8890-a8100858-f13c-4114-bd5c-3dbb73a56623,facing-8890-a8100858-f13c-4114-bd5c-3dbb73a56623,copying-8890-a8100858-f13c-4114-bd5c-3dbb73a56623,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,0,visible,254.86900000000003,247.926,2.125,242,0.4300000000000001,0.4,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,1,visible,252.993,248.924,2.125,242,0.4300000000000001,0.4,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,2,visible,253.47099999999998,250.995,2.125,167,0.48,0.4,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,3,visible,254.628,252.77700000000002,2.125,147,0.44,0.4,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,4,visible,255.785,254.55900000000003,2.125,147,0.6,0.4,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,5,visible,256.942,256.341,2.125,147,0.6599999999999999,0.4,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,6,visible,258.099,258.123,2.125,147,0.64,0.4,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,7,visible,259.256,259.905,2.125,147,0.6799999999999999,0.4,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,8,visible,260.413,261.687,2.125,147,0.72,0.4,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,9,visible,261.862,263.241,2.125,137,0.76,0.4,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,10,visible,263.738,262.243,2.125,62,0.69,0.4,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,11,visible,265.017,260.546,2.125,37,0.6799999999999999,0.4,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,12,visible,266.296,258.849,2.125,37,0.6799999999999999,0.4,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,13,visible,267.575,257.152,2.125,37,0.7,0.41,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,14,visible,268.85400000000004,255.455,2.125,37,0.65,0.41,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,15,visible,270.133,253.75799999999998,2.125,37,0.61,0.41,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,16,visible,271.41200000000003,252.06099999999998,2.125,37,0.63,0.41,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,17,visible,272.377,250.168,2.125,27,0.63,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,18,visible,272.08099999999996,248.06400000000002,2.125,352,0.6,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,19,visible,270.502,246.642,2.125,312,0.6799999999999999,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,20,visible,268.393,246.38299999999998,2.125,277,0.64,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,21,visible,266.611,247.54,2.125,237,0.6699999999999999,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,22,visible,265.815,249.51,2.125,202,0.5700000000000001,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,23,visible,266.472,251.53099999999998,2.125,162,0.52,0.41,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,24,visible,268.051,252.953,2.125,132,0.54,0.41,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,25,visible,269.63,254.375,2.125,132,0.63,0.41,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,26,visible,271.209,255.797,2.125,132,0.69,0.41,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
8890-a8100858-f13c-4114-bd5c-3dbb73a56623,27,visible,272.788,257.219,2.125,132,0.72,0.41,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
