pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,facing-1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,copying-1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,nearby-4640-2b79e5c5-b166-4e80-8e4f-4726b0968225,facing-4640-2b79e5c5-b166-4e80-8e4f-4726b0968225,copying-4640-2b79e5c5-b166-4e80-8e4f-4726b0968225,nearby-4791-f9e8da9b-aa8b-4091-bffd-6eb9ffde21ae,facing-4791-f9e8da9b-aa8b-4091-bffd-6eb9ffde21ae,copying-4791-f9e8da9b-aa8b-4091-bffd-6eb9ffde21ae,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,0,visible,347.787,116.473,7.125,89,0.63,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,1,visible,353.551,112.285,7.125,54,0.63,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,2,visible,355.275,105.37200000000001,7.125,14,0.6599999999999999,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,3,visible,352.722,98.72,7.125,339,0.73,0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,4,visible,346.49,95.266,7.125,299,0.76,0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,5,visible,339.404,96.01100000000001,7.125,264,0.77,0.6,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,6,visible,334.455,101.13600000000001,7.125,224,0.78,0.6,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,7,visible,333.34,108.17299999999999,7.125,189,0.72,0.6,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,8,visible,337.01,114.28,7.125,149,0.71,0.6,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,9,visible,343.519,117.178,7.125,114,0.71,0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,10,visible,350.36800000000005,115.214,7.125,74,0.74,0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,11,visible,355.31699999999995,110.089,7.125,44,0.78,0.6,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,12,visible,360.26599999999996,104.964,7.125,44,0.8,0.6,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,13,visible,365.215,99.839,7.125,44,0.81,0.6,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,14,visible,370.164,94.714,7.125,44,0.83,0.6,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,15,visible,377.01300000000003,92.75,7.125,74,0.8,0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,16,visible,384.05,93.865,7.125,99,0.8200000000000001,0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,17,visible,390.282,97.319,7.125,119,0.83,0.61,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,18,visible,393.952,103.426,7.125,149,0.81,0.61,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,19,visible,397.62199999999996,109.53299999999999,7.125,149,0.8,0.61,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,20,visible,398.36699999999996,116.619,7.125,174,0.77,0.61,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,21,visible,396.04699999999997,123.35600000000001,7.125,199,0.74,0.61,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.11
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,22,visible,393.727,130.093,7.125,199,0.72,0.61,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.08999999999999997
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,23,visible,391.407,136.83,7.125,199,0.73,0.61,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.08999999999999997
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,24,visible,389.087,143.567,7.125,199,0.72,0.61,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,,True,False,True,copying,False,False,0.07999999999999996
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,25,visible,384.603,149.10399999999998,7.125,219,0.71,0.61,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,26,visible,377.566,147.989,7.125,279,0.7,0.61,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,27,visible,370.529,146.874,7.125,279,0.7,0.61,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,28,visible,364.62199999999996,142.89,7.125,304,0.73,0.61,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,29,visible,360.434,137.126,7.125,324,0.76,0.61,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,30,visible,357.881,130.474,7.125,339,0.78,0.61,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,,True,False,True,copying,False,False,0.79
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,31,visible,355.32800000000003,123.822,7.125,339,0.76,0.61,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,,True,False,True,copying,False,False,0.87
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,32,visible,352.775,117.17,7.125,339,0.81,0.61,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,,True,False,True,copying,False,False,0.89
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,33,visible,350.222,110.51799999999999,7.125,339,0.88,0.61,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,,True,False,True,copying,False,False,0.88
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,34,visible,347.66900000000004,103.866,7.125,339,0.94,0.61,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,35,visible,345.116,97.214,7.125,339,0.96,0.61,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,36,visible,342.56300000000005,90.56200000000001,7.125,339,1.0,0.61,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,37,visible,340.01,83.91,7.125,339,1.0,0.61,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,38,visible,335.82199999999995,78.146,7.125,324,0.96,0.61,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,39,visible,329.915,74.16199999999999,7.125,304,0.93,0.61,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,40,visible,322.807,73.665,7.125,274,0.88,0.61,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,41,visible,316.403,76.788,7.125,244,0.88,0.61,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,42,visible,310.296,80.458,7.125,239,0.91,0.61,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,43,visible,303.21,81.203,7.125,264,0.92,0.61,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,44,visible,296.297,79.479,7.125,284,0.9,0.61,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
1121-5c30591e-ba1e-49b8-aa53-5e5d8c88dd49,45,visible,290.39,75.495,7.125,304,0.91,0.62,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
