pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,facing-9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,copying-9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,0,visible,250.695,107.92299999999999,2.125,237,0.62,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,1,visible,248.91299999999998,109.08,2.125,237,0.61,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,2,visible,247.13099999999997,110.23700000000001,2.125,237,0.61,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,3,visible,245.34900000000002,111.39399999999999,2.125,237,0.6,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,4,visible,243.567,112.551,2.125,237,0.5900000000000001,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,5,visible,241.785,113.708,2.125,237,0.5700000000000001,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,6,visible,240.003,114.865,2.125,237,0.5700000000000001,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,7,visible,239.207,116.835,2.125,202,0.5700000000000001,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,8,visible,238.41099999999997,118.805,2.125,202,0.55,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,9,visible,237.615,120.775,2.125,202,0.55,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,10,visible,234.946,127.381,7.125,202,0.54,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,11,visible,232.27700000000002,133.987,7.125,202,0.5,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,12,visible,229.608,140.593,7.125,202,0.45,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,13,visible,226.93900000000002,147.19899999999998,7.125,202,0.41,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,14,visible,224.27,153.805,7.125,202,0.38,0.59,False,False,False,True,False,True,True,False,False,,False,True,True,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,15,visible,222.488,154.96200000000002,2.125,237,0.33,0.59,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,16,visible,220.364,154.888,2.125,272,0.33,0.59,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,17,visible,218.785,153.466,2.125,312,0.33,0.59,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,18,visible,218.30700000000002,151.395,2.125,347,0.35,0.59,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,19,visible,219.27200000000002,149.502,2.125,27,0.36,0.59,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,20,visible,221.054,148.345,2.125,57,0.37,0.59,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,21,visible,227.868,150.428,7.125,107,0.4,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,22,visible,234.68200000000002,152.511,7.125,107,0.4,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,23,visible,241.49599999999998,154.594,7.125,107,0.41,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,24,visible,248.31,156.67700000000002,7.125,107,0.42,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,25,visible,255.12400000000002,158.76,7.125,107,0.44,0.59,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,26,visible,259.892,153.465,7.125,42,0.46,0.59,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,27,visible,264.66,148.17,7.125,42,0.5,0.59,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,28,visible,269.428,142.875,7.125,42,0.52,0.59,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,29,visible,271.51099999999997,136.061,7.125,17,0.55,0.6,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,30,visible,273.594,129.247,7.125,17,0.5800000000000001,0.6,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,31,visible,275.677,122.43299999999999,7.125,17,0.62,0.6,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,32,visible,277.76,115.619,7.125,17,0.6599999999999999,0.6,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,33,visible,279.843,108.805,7.125,17,0.69,0.6,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,34,visible,281.926,101.991,7.125,17,0.75,0.6,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,35,visible,282.547,99.959,2.125,17,0.8,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,36,visible,283.168,97.927,2.125,17,0.81,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,37,visible,283.789,95.895,2.125,17,0.83,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,38,visible,285.745,95.065,2.125,67,0.84,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,39,visible,287.70099999999996,94.235,2.125,67,0.84,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,40,visible,289.657,93.405,2.125,67,0.85,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,41,visible,291.613,92.575,2.125,67,0.84,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,42,visible,293.569,91.745,2.125,67,0.84,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,43,visible,295.525,90.915,2.125,67,0.85,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,44,visible,296.651,89.113,2.125,32,0.84,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,45,visible,297.777,87.311,2.125,32,0.84,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,46,visible,298.903,85.509,2.125,32,0.85,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,47,visible,300.029,83.70700000000001,2.125,32,0.85,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,48,visible,301.155,81.905,2.125,32,0.85,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,49,visible,302.281,80.10300000000001,2.125,32,0.86,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,50,visible,303.407,78.301,2.125,32,0.86,0.6,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,51,visible,303.849,76.222,2.125,12,0.86,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,52,visible,303.019,74.266,2.125,337,0.86,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,53,visible,301.126,73.301,2.125,297,0.88,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,54,visible,299.055,73.779,2.125,257,0.9,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,55,visible,297.633,75.358,2.125,222,0.89,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
