pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,facing-5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,copying-5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,0,visible,288.33,251.97400000000002,2.125,15,0.92,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,1,visible,288.88,249.921,2.125,15,0.91,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,2,visible,289.43,247.868,2.125,15,0.95,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,3,visible,289.98,245.815,2.125,15,0.97,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,4,visible,290.53,243.762,2.125,15,1.0,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,5,visible,292.374,236.88,7.125,15,0.97,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,6,visible,294.218,229.998,7.125,15,0.88,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,7,visible,296.062,223.11599999999999,7.125,15,0.8200000000000001,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,8,visible,297.906,216.234,7.125,15,0.81,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,9,visible,299.75,209.352,7.125,15,0.78,0.01,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
5673-542f1e42-fe28-4ea0-9465-7deddcb2d597,10,visible,301.116,207.72400000000002,2.125,40,0.77,0.01,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
