date,n_players_planned,noise,gameid,pid,half,avg_score,n_players
2016-10-22-16-17-22-910,2,2,7849-eeac73ab-2c94-4b9c-8e5b-ec39a8d662d8.csv,4792-497f2ceb-c0a7-4eaa-86d5-82004815ea14,first,0.18916666666666757,1
2016-10-22-16-17-22-910,2,2,7849-eeac73ab-2c94-4b9c-8e5b-ec39a8d662d8.csv,4792-497f2ceb-c0a7-4eaa-86d5-82004815ea14,second,0.1875,1
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,1956-8f759c93-afdb-4bef-bf27-8ace11e99c6f,first,0.21333333333333407,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,1956-8f759c93-afdb-4bef-bf27-8ace11e99c6f,second,0.1791666666666664,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,2978-edf4960e-f3b3-49b2-91cf-c3287b6327ce,first,0.12916666666666607,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,2978-edf4960e-f3b3-49b2-91cf-c3287b6327ce,second,0.3724999999999996,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,4111-f433c9d7-c1fc-4ca9-ade8-5f6df3c622ad,first,0.1699999999999987,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,4111-f433c9d7-c1fc-4ca9-ade8-5f6df3c622ad,second,0.3941666666666692,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,5955-90a1ed54-d245-4d93-823a-bb281a170624,first,0.16999999999999904,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,5955-90a1ed54-d245-4d93-823a-bb281a170624,second,0.2833333333333335,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,6703-ef624211-15e6-4df5-86ff-26ff900a71f0,first,0.2041666666666671,5
2016-10-22-16-18-5-406,6,2,0686-87a608e7-0709-4493-bb04-cd79adcc8425.csv,6703-ef624211-15e6-4df5-86ff-26ff900a71f0,second,0.2933333333333323,5
2016-10-22-16-21-18-192,1,2,5311-ab315880-9f9b-4b34-9368-c9cbca9e446e.csv,3769-51072f8c-2da4-4210-96a3-f70caf1ed805,first,0.1650000000000007,1
2016-10-22-16-21-18-192,1,2,5311-ab315880-9f9b-4b34-9368-c9cbca9e446e.csv,3769-51072f8c-2da4-4210-96a3-f70caf1ed805,second,0.13916666666666574,1
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,0486-23bd5d73-ce18-4eaf-aebb-c423055c5742,first,0.09249999999999978,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,0486-23bd5d73-ce18-4eaf-aebb-c423055c5742,second,0.2516666666666676,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,1806-91237b17-210c-4528-94fd-196738cef70c,first,0.19666666666666593,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,1806-91237b17-210c-4528-94fd-196738cef70c,second,0.27583333333333254,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,5421-a9be35a3-39e6-4c09-882b-a82fb0ffa5c9,first,0.26166666666666616,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,5421-a9be35a3-39e6-4c09-882b-a82fb0ffa5c9,second,0.2958333333333329,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,6714-e719eac6-3271-428a-ba34-4e7888f248b9,first,0.24583333333333404,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,6714-e719eac6-3271-428a-ba34-4e7888f248b9,second,0.1541666666666672,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,8492-cec321ef-9942-48fc-84b5-404723bcf004,first,0.2433333333333332,5
2016-10-22-16-27-37-649,6,2,4842-5c973c34-d757-4172-9b69-46423717dfe9.csv,8492-cec321ef-9942-48fc-84b5-404723bcf004,second,0.1741666666666664,5
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,2621-5f156254-53d9-4358-a6cc-18897e5cb851,first,0.13583333333333336,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,2621-5f156254-53d9-4358-a6cc-18897e5cb851,second,0.2941666666666665,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,3300-acc8891b-e5fc-40c2-8e97-abaacf3ab40a,first,0.13499999999999943,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,3300-acc8891b-e5fc-40c2-8e97-abaacf3ab40a,second,0.13583333333333347,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,5791-26d525c2-7169-4c6e-b50c-67a65c86e50c,first,0.1666666666666672,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,5791-26d525c2-7169-4c6e-b50c-67a65c86e50c,second,0.18416666666666656,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,7808-ef213082-ac4f-40c7-98da-b4632fd6c326,first,0.15416666666666679,6
2016-10-22-16-29-36-807,6,0,4046-4abced1c-9eaf-482f-bd41-085ad2a7dc78.csv,7808-ef213082-ac4f-40c7-98da-b4632fd6c326,second,0.22250000000000048,6
