id,8549-07a2ea0b-20f5-410a-b80b-f698e0276c79
time,2016-10-24-14-24-25-112
strategy,NA
changes,NA
others,NA
relative,
bugs,Couldn&#039;t move my icon.
instructions,No
fair,NA
comments,http://nospoon.mit.edu:8888/index.html?id=8549-07a2ea0b-20f5-410a-b80b-f698e0276c79 is url of my game. I was able to turn my icon with mouse click, but A and S had no effect; it wouldn&#039;t move. I took a screen shot if you want it.
