,PID,Bg,Bg Match,Nearest Goal,Social Score,Asocial Score,Score Index,Goal Hits,Asocial Goal Hits,Social Index,Social Strategy,RME Score,High RME
0,7001-288000b4-9fc5-4e18-a88a-ab0eb66ea348,spot,matched,close,0.7263157894736842,0.7263157894736842,0.0,0.23636363636363636,0.03571428571428571,0.20064935064935063,1.0,0.8888888888888888,True
1,7001-288000b4-9fc5-4e18-a88a-ab0eb66ea348,spot,mismatch,close,0.7263157894736842,0.7263157894736842,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True
2,7001-288000b4-9fc5-4e18-a88a-ab0eb66ea348,spot,matched,far,0.42105263157894735,0.3894736842105263,0.03157894736842104,0.3225806451612903,0.28,0.04258064516129029,1.0,0.8888888888888888,True
3,7001-288000b4-9fc5-4e18-a88a-ab0eb66ea348,spot,mismatch,far,0.42105263157894735,0.3894736842105263,0.03157894736842104,0.0,0.0,0.0,1.0,0.8888888888888888,True
4,0117-650c9fbb-7645-46b8-8c90-df959866551a,spot,matched,close,0.7157894736842105,0.7157894736842105,0.0,0.2,0.0,0.2,1.0,0.3333333333333333,False
5,0117-650c9fbb-7645-46b8-8c90-df959866551a,spot,mismatch,close,0.7157894736842105,0.7157894736842105,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,False
6,0117-650c9fbb-7645-46b8-8c90-df959866551a,spot,matched,far,0.0,0.010526315789473684,-0.010526315789473684,0.0,0.16666666666666666,-0.16666666666666666,1.0,0.3333333333333333,False
7,0117-650c9fbb-7645-46b8-8c90-df959866551a,spot,mismatch,far,0.0,0.010526315789473684,-0.010526315789473684,0.4,0.0,0.4,1.0,0.3333333333333333,False
8,9053-32ee2c86-1bc7-4516-8fa8-a763d03665b8,wall,matched,close,0.7157894736842105,0.7157894736842105,0.0,0.0,0.0,0.0,1.0,0.8055555555555556,False
9,9053-32ee2c86-1bc7-4516-8fa8-a763d03665b8,wall,mismatch,close,0.7157894736842105,0.7157894736842105,0.0,0.0,0.0,0.0,1.0,0.8055555555555556,False
10,9053-32ee2c86-1bc7-4516-8fa8-a763d03665b8,wall,matched,far,0.0,0.08421052631578947,-0.08421052631578947,0.3,0.3333333333333333,-0.033333333333333326,1.0,0.8055555555555556,False
11,9053-32ee2c86-1bc7-4516-8fa8-a763d03665b8,wall,mismatch,far,0.0,0.08421052631578947,-0.08421052631578947,0.0,0.0,0.0,1.0,0.8055555555555556,False
12,5960-70c879e0-8de2-4441-ac8f-9f4fabcb088d,wall,matched,close,0.7473684210526316,0.7157894736842105,0.03157894736842104,0.0,0.0,0.0,1.0,0.8888888888888888,True
13,5960-70c879e0-8de2-4441-ac8f-9f4fabcb088d,wall,mismatch,close,0.7473684210526316,0.7157894736842105,0.03157894736842104,0.1,0.0,0.1,1.0,0.8888888888888888,True
