pid,tick,latency
2796-3ad07113-9e40-426c-8c88-58f104f75d32,2406,25
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,2406,36.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,2406,70
2796-3ad07113-9e40-426c-8c88-58f104f75d32,0,24
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,0,31
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,0,69.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,1,25.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,1,28
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,1,76
2796-3ad07113-9e40-426c-8c88-58f104f75d32,2,24.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,2,26.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,2,69
2796-3ad07113-9e40-426c-8c88-58f104f75d32,3,26
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,3,42
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,3,71
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,4,25
2796-3ad07113-9e40-426c-8c88-58f104f75d32,4,25
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,4,70.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,5,26.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,5,34
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,5,69
2796-3ad07113-9e40-426c-8c88-58f104f75d32,6,27.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,6,30.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,6,72
2796-3ad07113-9e40-426c-8c88-58f104f75d32,7,24.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,7,34.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,7,72
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,8,25
2796-3ad07113-9e40-426c-8c88-58f104f75d32,8,26
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,8,70
2796-3ad07113-9e40-426c-8c88-58f104f75d32,9,27.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,9,32.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,9,72.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,10,24
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,10,26
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,10,70.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,11,25.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,11,25.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,11,72
2796-3ad07113-9e40-426c-8c88-58f104f75d32,12,24.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,12,29
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,12,69
2796-3ad07113-9e40-426c-8c88-58f104f75d32,13,26
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,13,27.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,13,74
2796-3ad07113-9e40-426c-8c88-58f104f75d32,14,27.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,14,31.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,14,72.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,15,26.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,15,35
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,15,72.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,16,30
2796-3ad07113-9e40-426c-8c88-58f104f75d32,16,45.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,16,70
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,17,32.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,17,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,17,69.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,18,24.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,18,39.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,18,69.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,19,25
2796-3ad07113-9e40-426c-8c88-58f104f75d32,19,28.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,19,71.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,20,26
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,20,26.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,20,70
2796-3ad07113-9e40-426c-8c88-58f104f75d32,21,27.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,21,30.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,21,71.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,22,24.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,22,26.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,22,71.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,23,26.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,23,32
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,23,72
2796-3ad07113-9e40-426c-8c88-58f104f75d32,24,26.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,24,28
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,24,74.5
2796-3ad07113-9e40-426c-8c88-58f104f75d32,25,25
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,25,29
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,25,71
2796-3ad07113-9e40-426c-8c88-58f104f75d32,26,26.5
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,26,45.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,26,72
2796-3ad07113-9e40-426c-8c88-58f104f75d32,27,26
5159-c7c428b6-5064-4a89-a754-6fc4b6f6bbcd,27,32.5
