pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y,on_wall,in_close,in_far,round,round_type,bg_cond,close_cond,sim_num
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,69,visible,303.924,32.88,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,70,visible,303.887,35.005,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,71,visible,303.85,37.13,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,72,visible,303.813,39.255,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,73,visible,303.776,41.38,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,74,visible,303.739,43.505,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,75,visible,303.702,45.63,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,76,visible,303.665,47.755,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,77,visible,303.628,49.88,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,78,visible,303.591,52.005,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,79,visible,303.467,59.129,7.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,80,visible,303.343,66.253,7.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,81,visible,303.306,68.378,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
