pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y,on_wall,in_close,in_far,round,round_type,bg_cond,close_cond,sim_num
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,0,visible,153.597,270.058,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,1,visible,155.019,268.479,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,2,visible,156.441,266.9,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,3,visible,157.863,265.321,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,4,visible,159.285,263.742,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,5,visible,160.707,262.163,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,6,visible,162.129,260.584,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,7,visible,163.551,259.005,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,8,visible,164.973,257.426,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,9,visible,166.395,255.847,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
7530-50eccdab-28a2-4d6d-adbb-45197a87d8a4,10,visible,167.817,254.268,2.125,42,0,0,0,152.174697595,271.637257088,0,0,0,0,initialVisible1,wall,first,68
