pid,tick,latency
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,70,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,70,77.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,71,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,71,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,72,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,72,71.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,73,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,73,68.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,74,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,74,68.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,75,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,75,71.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,76,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,76,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,77,41.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,77,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,78,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,78,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,79,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,79,72.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,80,42
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,80,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,81,41.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,81,78
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,82,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,82,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,83,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,83,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,84,39.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,84,68.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,85,39.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,85,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,86,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,86,71.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,87,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,87,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,88,41
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,88,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,89,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,89,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,90,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,90,71
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,91,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,91,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,92,39.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,92,72.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,93,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,93,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,94,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,94,68.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,95,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,95,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,96,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,96,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,97,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,97,69.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,98,46.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,98,72
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,99,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,99,71
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,100,40.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,100,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,101,45.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,101,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,102,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,102,72.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,103,41.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,103,69
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,104,56.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,104,70.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,105,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,105,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,106,47
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,106,73
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,107,70
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,108,69.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,109,69.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,110,87.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,111,69.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,112,69.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,113,71
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,114,75.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,115,70.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,116,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,107,660.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,108,597.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,109,535
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,110,472.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,111,409.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,112,347
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,117,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,113,327.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,114,265
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,115,209.5
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,116,148
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,117,85
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,118,57
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,118,70
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,119,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,119,72
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,120,42.5
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,120,80
2809-aec10459-b5bf-477f-b1a1-3e37005e3c25,121,40
1239-ace381bb-85bd-48d6-bdce-3fa72ea3ccb8,121,69
