,assigned_n_players,bn_players,difficulty,first_half_score,fn_players,game,hn_players,max_lat,mean_lat,noise,pid,score,second_half_score,wait
37,3,3,,0.13,3,2016-11-2-13-0-33-537_3_0_5517-17c5c5b4-cf5d-4dc5-a26a-28aa903019fa,3,334.0,72.12255106294289,0,3988-71fddb43-b747-42c3-9455-4784f482caa6,0.18666666666666668,0.24333333333333335,541
38,2,2,,0.32416666666666666,1,2016-11-2-15-10-2-647_2_2_1282-05772ef1-ea00-43f5-93fd-952f018619ac,1,509.5,42.18098415346122,2,2691-1f992de7-8e64-44e2-8c40-efbae7e925ca,0.27791666666666665,0.23166666666666666,262
39,4,2,,0.0925,2,2016-11-2-15-5-36-662_4_3_3109-c048c068-4620-4866-a0ed-6976d20e88ef,2,710.5,49.5939974989579,3,9872-9f2e3c47-6471-4e3e-bf3a-c56f72e0dee5,0.15208333333333332,0.21166666666666667,907
40,4,2,,0.15916666666666668,2,2016-11-2-15-5-36-662_4_3_3109-c048c068-4620-4866-a0ed-6976d20e88ef,2,152.0,37.3528553563985,3,9580-57438af5-7030-4364-8dce-769b565f0a3b,0.23166666666666666,0.30416666666666664,1455
41,4,3,,0.09,3,2016-11-2-15-18-34-929_4_3_9116-82b1c25e-54d6-42fe-8976-2dcdee0e683e,3,373.5,110.54604166666667,3,0863-a8fefb25-bbd2-43ae-ab77-e3d1973af2ff,0.07541666666666667,0.060833333333333336,757
42,4,3,,0.2575,3,2016-11-2-15-18-34-929_4_3_9116-82b1c25e-54d6-42fe-8976-2dcdee0e683e,3,149.0,42.81041666666667,3,8215-e6ca33e4-d317-4a9d-87f7-0a43c4846005,0.26125,0.265,716
43,4,3,,0.18583333333333332,3,2016-11-2-15-18-34-929_4_3_9116-82b1c25e-54d6-42fe-8976-2dcdee0e683e,3,279.5,105.27842565597668,3,4548-552108b7-b350-4215-92cb-7b05256aed83,0.24041666666666667,0.295,365
44,1,1,,0.05,1,2016-11-2-13-40-37-118_1_1_1382-06ec63b3-26d0-495b-822c-a27fad838ef8,1,174.5,37.614839516465196,1,4770-22305ee1-fa03-4d26-876f-febde2525d63,0.11083333333333334,0.17166666666666666,261
45,2,1,,0.1775,1,2016-11-2-13-27-54-723_2_1_7119-a0db1d8b-dc2a-4004-94d6-bec86a0b3354,1,959.0,78.12083333333334,1,7462-5b243f02-3fd2-4262-aeec-aebc8fc4b2a1,0.15125,0.125,263
46,3,2,,0.20416666666666666,2,2016-11-2-15-40-3-225_3_2_9188-90248ef9-de34-4de9-8f62-1434a96ddc00,2,310.5,50.90708333333333,2,6649-ba8dd7c6-f9b1-49a4-8b58-78d803bcf8cd,0.23541666666666666,0.26666666666666666,591
47,3,2,,0.1775,2,2016-11-2-15-40-3-225_3_2_9188-90248ef9-de34-4de9-8f62-1434a96ddc00,2,1015.0,77.81659024593581,2,1645-2535a2ca-40b1-400b-8071-bc6706fddcb4,0.17791666666666667,0.17833333333333334,1457
48,6,6,,0.135,6,2016-11-2-13-39-5-261_6_0_5326-2b0f8141-2966-4c95-8503-aecdb95ce0cf,6,165.5,23.153814089203834,0,5565-e313bd46-ff96-4cd5-98cd-d80c6d2d4052,0.15,0.165,791
49,6,6,,0.13416666666666666,6,2016-11-2-13-39-5-261_6_0_5326-2b0f8141-2966-4c95-8503-aecdb95ce0cf,6,45.5,11.29858215179316,0,2205-bcec5d5e-5c31-48ef-a277-56d35f1825f4,0.145,0.15583333333333332,883
50,6,6,,0.14166666666666666,6,2016-11-2-13-39-5-261_6_0_5326-2b0f8141-2966-4c95-8503-aecdb95ce0cf,6,216.0,28.25864943726553,0,8571-b03f0437-591a-4053-a554-d4c0ba85c38f,0.16166666666666665,0.18166666666666667,916
51,6,6,,0.1475,6,2016-11-2-13-39-5-261_6_0_5326-2b0f8141-2966-4c95-8503-aecdb95ce0cf,6,187.5,37.67583333333334,0,4580-9a96ac80-8d17-4561-8aef-fda95e232448,0.21791666666666668,0.28833333333333333,261
52,6,6,,0.13333333333333333,6,2016-11-2-13-39-5-261_6_0_5326-2b0f8141-2966-4c95-8503-aecdb95ce0cf,6,79.0,34.7525,0,1470-104b8eef-48c9-47c2-97f8-f723d14173bd,0.11291666666666667,0.0925,421
53,6,6,,0.08416666666666667,6,2016-11-2-13-39-5-261_6_0_5326-2b0f8141-2966-4c95-8503-aecdb95ce0cf,6,119.5,41.40354166666667,0,3880-559ea347-2669-4280-b1c2-933186a4ea71,0.08958333333333333,0.095,631
54,6,1,,0.175,1,2016-11-2-18-41-40-232_6_0_2666-8f014a94-51ed-434b-932c-a524269602c8,1,177.5,37.740625,0,4949-8e8f330b-e4fa-40ed-aa9a-684164a2c76c,0.17291666666666666,0.17083333333333334,1457
55,6,6,,0.12666666666666668,6,2016-11-2-15-15-7-528_6_2_4005-3dd5f269-37bf-470a-aa56-25365c15f358,6,186.5,51.977291666666666,2,5155-ddcac274-b2b3-4e7a-8631-f4150cedb106,0.17208333333333334,0.2175,1064
56,6,6,,0.095,6,2016-11-2-15-15-7-528_6_2_4005-3dd5f269-37bf-470a-aa56-25365c15f358,6,205.0,25.05939974989579,2,8136-69bd2d05-2109-4a71-9f1c-ff7a8a67355f,0.11708333333333333,0.13916666666666666,597
57,6,6,,0.07666666666666666,6,2016-11-2-15-15-7-528_6_2_4005-3dd5f269-37bf-470a-aa56-25365c15f358,6,284.5,95.5711009174312,2,5216-a43b61cf-031a-44ed-9da8-c1ff20b1feae,0.10875,0.14083333333333334,821
58,6,6,,0.105,6,2016-11-2-15-15-7-528_6_2_4005-3dd5f269-37bf-470a-aa56-25365c15f358,6,130.0,29.11879949979158,2,8550-d90a25c7-3b33-41cf-92ed-3ca7b5e78f2a,0.1825,0.26,260
59,6,6,,0.10833333333333334,6,2016-11-2-15-15-7-528_6_2_4005-3dd5f269-37bf-470a-aa56-25365c15f358,6,275.0,27.676531888286785,2,0439-5100d20d-0e53-44ae-9e19-8c951339f885,0.17791666666666667,0.2475,508
60,6,6,,0.2225,6,2016-11-2-15-15-7-528_6_2_4005-3dd5f269-37bf-470a-aa56-25365c15f358,6,112.5,28.592708333333334,2,9788-735c984e-76bb-46d2-a5d5-9f1295e98c71,0.22583333333333333,0.22916666666666666,887
61,4,1,,0.1525,1,2016-11-2-13-29-54-502_4_2_6434-eff09d45-1719-46a4-9d49-727451b5048e,1,178.5,52.048125,2,3569-ad6c821c-1eda-46f5-8ede-e6502074aa5c,0.13916666666666666,0.12583333333333332,1458
62,5,1,,0.23,1,2016-11-2-16-3-58-613_5_3_5149-95be04f2-88d7-495e-a8b0-c3edb5e976fe,1,285.0,46.922916666666666,3,4017-65dec65e-858b-47b8-8103-5aa72bea43f8,0.15333333333333332,0.07666666666666666,1458
63,6,4,,0.07166666666666667,4,2016-11-2-15-16-49-101_6_0_2259-b91bad3b-7409-4fce-87d5-12d7a1abb52d,4,1362.0,131.27875,0,8289-8f0b2fec-645d-4aa2-ab64-f001eae5aafd,0.06666666666666667,0.06166666666666667,264
64,6,4,,0.10083333333333333,4,2016-11-2-15-16-49-101_6_0_2259-b91bad3b-7409-4fce-87d5-12d7a1abb52d,4,714.0,131.72067387687187,0,2476-17f71290-a973-4714-bccd-4c7be716d354,0.12791666666666668,0.155,284
65,6,4,,0.10583333333333333,4,2016-11-2-15-16-49-101_6_0_2259-b91bad3b-7409-4fce-87d5-12d7a1abb52d,4,159.5,11.441850771154648,0,4387-7dc68b00-78bf-4aff-9b1f-3841e13978e5,0.07375,0.041666666666666664,711
66,6,4,,0.1275,4,2016-11-2-15-16-49-101_6_0_2259-b91bad3b-7409-4fce-87d5-12d7a1abb52d,4,811.0,23.92809503959983,0,7309-2d215b05-9e43-4ba7-94dc-9b2fe59daeaf,0.17416666666666666,0.22083333333333333,461
67,6,5,,0.0825,5,2016-11-2-13-38-0-730_6_0_7767-61544142-ada5-4ecd-9d9a-048f5191015b,5,327.0,48.13443101292205,0,7021-9236046f-5eb7-453d-ac14-b46b709d7b71,0.11,0.1375,560
68,6,5,,0.165,5,2016-11-2-13-38-0-730_6_0_7767-61544142-ada5-4ecd-9d9a-048f5191015b,5,287.0,53.83555648186744,0,7296-0ecac966-ca44-4cef-abc4-e987f849b31d,0.14833333333333334,0.13166666666666665,301
69,6,5,,0.11833333333333333,5,2016-11-2-13-38-0-730_6_0_7767-61544142-ada5-4ecd-9d9a-048f5191015b,5,163.5,27.631304710295957,0,2452-d7df9b69-5538-4ae5-b31f-c0eb92304b21,0.14,0.16166666666666665,260
70,6,5,,0.18833333333333332,5,2016-11-2-13-38-0-730_6_0_7767-61544142-ada5-4ecd-9d9a-048f5191015b,5,150.5,51.24582985821518,0,0076-eb6c0c65-b5d1-4d85-a678-a3592dc8dc1d,0.2225,0.25666666666666665,769
71,6,5,,0.03333333333333333,5,2016-11-2-13-38-0-730_6_0_7767-61544142-ada5-4ecd-9d9a-048f5191015b,5,169.5,42.19508128386828,0,7728-4db324e5-9780-4826-81c5-7728f04f867d,0.10416666666666667,0.175,579
72,4,2,,0.19166666666666668,2,2016-11-2-14-11-14-626_4_0_5232-e120619c-f58f-4c79-a525-14b3067a4d6e,2,50.5,41.53,0,9179-6b023263-8c99-4205-9ae3-7cf07d54a489,0.29833333333333334,0.405,1456
73,4,2,,0.235,2,2016-11-2-14-11-14-626_4_0_5232-e120619c-f58f-4c79-a525-14b3067a4d6e,2,221.0,32.047916666666666,0,4897-1f43bc7b-77eb-4253-9c46-f7a6be8a6e95,0.29833333333333334,0.3616666666666667,755
74,4,3,,0.15166666666666667,3,2016-11-2-15-13-11-442_4_0_0985-4ab45794-d4b1-4159-aa20-ded110d1977f,3,140.0,32.04564401834097,0,7499-46943941-1ccb-4452-808f-a99de6bd2b70,0.16541666666666666,0.17916666666666667,430
75,4,3,,0.19666666666666666,3,2016-11-2-15-13-11-442_4_0_0985-4ab45794-d4b1-4159-aa20-ded110d1977f,3,78.0,22.359733222175908,0,7181-80f778d8-0b4c-4967-b330-5d9856137c42,0.19458333333333333,0.1925,261
76,4,3,,0.09916666666666667,3,2016-11-2-15-13-11-442_4_0_0985-4ab45794-d4b1-4159-aa20-ded110d1977f,3,140.0,23.561900791996667,0,2916-1e0c65ef-bbee-4458-872b-da3be8e43aa2,0.095,0.09083333333333334,563
77,3,2,,0.0775,2,2016-11-2-14-49-7-862_3_2_4978-85053809-6536-4112-9e84-d1a71fc35a44,2,200.5,73.80783659858274,2,8828-eb01c925-4c55-4fd9-97b3-b6e34ab50025,0.07875,0.08,707
78,3,2,,0.13416666666666666,2,2016-11-2-14-49-7-862_3_2_4978-85053809-6536-4112-9e84-d1a71fc35a44,2,79.5,29.331458333333334,2,3044-7db997d8-0bcc-4561-9af9-216afa203bd6,0.12291666666666666,0.11166666666666666,1449
79,4,1,,0.22083333333333333,1,2016-11-2-13-12-0-499_4_0_0772-59ea39b0-2cf1-48ba-a97f-2522f0338591,1,175.0,34.225,0,5717-1da34e1f-35ac-410b-98dd-c1068ccd45ee,0.1725,0.12416666666666666,1458
