pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,0,visible,190.188,98.053,2.125,255,0.18000000000000005,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,1,visible,183.306,99.897,7.125,255,0.17000000000000004,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,2,visible,181.253,100.447,2.125,255,0.16000000000000003,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,3,visible,179.2,100.997,2.125,255,0.16000000000000003,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,4,visible,172.318,102.841,7.125,255,0.15000000000000002,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,5,visible,165.436,104.685,7.125,255,0.17000000000000004,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,6,visible,160.856,110.143,7.125,220,0.20999999999999996,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,7,visible,160.235,117.241,7.125,185,0.28,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,8,visible,159.614,124.339,7.125,185,0.39,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,9,visible,158.993,131.437,7.125,185,0.45999999999999996,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,10,visible,158.372,138.535,7.125,185,0.45999999999999996,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,11,visible,157.751,145.633,7.125,185,0.47,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,12,visible,157.13,152.731,7.125,185,0.47,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,13,visible,152.092,157.769,7.125,225,0.41000000000000003,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,14,visible,144.994,158.39,7.125,265,0.39,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,15,visible,139.158,154.303,7.125,305,0.32999999999999996,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,16,visible,133.7,149.723,7.125,310,0.31999999999999995,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,17,visible,128.242,145.143,7.125,310,0.29000000000000004,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,18,visible,122.784,140.563,7.125,310,0.28,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,19,visible,117.326,135.983,7.125,310,0.24,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,20,visible,110.201,135.983,7.125,270,0.18999999999999995,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,21,visible,104.743,140.563,7.125,230,0.16000000000000003,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,22,visible,103.506,147.58,7.125,190,0.12,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,23,visible,107.069,153.75,7.125,150,0.13,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,24,visible,113.951,155.594,7.125,105,0.15000000000000002,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,25,visible,120.833,157.438,7.125,105,0.22999999999999998,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,26,visible,127.715,159.282,7.125,105,0.33999999999999997,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,27,visible,134.597,161.126,7.125,105,0.43000000000000005,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,28,visible,141.479,162.97,7.125,105,0.43999999999999995,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,29,visible,148.361,164.814,7.125,105,0.48,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,30,visible,155.243,166.658,7.125,105,0.5,0.58
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,31,visible,162.125,168.502,7.125,105,0.48,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,32,visible,169.007,170.346,7.125,105,0.48,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,33,visible,175.889,172.19,7.125,105,0.49,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,34,visible,182.771,174.034,7.125,105,0.5,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,35,visible,189.653,175.878,7.125,105,0.53,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,36,visible,196.535,177.722,7.125,105,0.5800000000000001,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,37,visible,203.633,178.343,7.125,95,0.6699999999999999,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,38,visible,210.731,178.964,7.125,95,0.75,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,39,visible,217.829,179.585,7.125,95,0.83,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,40,visible,224.927,180.206,7.125,95,0.9,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,41,visible,227.044,180.391,2.125,95,0.89,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,42,visible,229.161,180.576,2.125,95,0.9299999999999999,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,43,visible,231.278,180.761,2.125,95,0.9299999999999999,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,44,visible,233.395,180.946,2.125,95,0.9299999999999999,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,45,visible,235.235,179.883,2.125,60,0.96,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,46,visible,237.075,178.821,2.125,60,0.97,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,47,visible,238.915,177.758,2.125,60,0.98,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,48,visible,240.755,176.696,2.125,60,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,49,visible,242.595,175.633,2.125,60,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,50,visible,244.435,174.571,2.125,60,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,51,visible,246.528,174.202,2.125,80,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,52,visible,248.368,175.264,2.125,120,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,53,visible,250.109,176.483,2.125,125,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,54,visible,251.85,177.702,2.125,125,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,55,visible,253.591,178.921,2.125,125,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,56,visible,255.332,180.14,2.125,125,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,57,visible,257.385,180.69,2.125,105,1,0.59
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,58,visible,259.438,181.24,2.125,105,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,59,visible,261.491,181.79,2.125,105,0.96,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,60,visible,263.544,182.34,2.125,105,0.95,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,61,visible,265.597,181.79,2.125,75,0.92,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,62,visible,267.65,181.24,2.125,75,0.92,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,63,visible,269.703,180.69,2.125,75,0.87,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,64,visible,271.069,179.062,2.125,40,0.84,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,65,visible,271.254,176.945,2.125,5,0.84,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,66,visible,270.035,175.204,2.125,325,0.83,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,67,visible,267.982,174.654,2.125,285,0.84,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,68,visible,265.985,175.381,2.125,250,0.85,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,69,visible,263.988,176.108,2.125,250,0.89,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,70,visible,261.991,176.835,2.125,250,0.92,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,71,visible,259.994,177.562,2.125,250,0.94,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,72,visible,257.997,178.289,2.125,250,0.9299999999999999,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,73,visible,256,179.016,2.125,250,0.92,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,74,visible,254.003,179.743,2.125,250,0.9299999999999999,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,75,visible,252.5,181.246,2.125,225,0.97,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,76,visible,250.997,182.749,2.125,225,0.99,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,77,visible,249.494,184.252,2.125,225,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,78,visible,249.125,186.345,2.125,190,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,79,visible,248.756,188.438,2.125,190,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,80,visible,248.387,190.531,2.125,190,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,81,visible,249.45,192.371,2.125,150,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,82,visible,250.512,194.211,2.125,150,1,0.6
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,83,visible,251.575,196.051,2.125,150,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,84,visible,251.39,198.168,2.125,185,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,85,visible,250.327,200.008,2.125,210,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,86,visible,249.264,201.848,2.125,210,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,87,visible,247.636,203.214,2.125,230,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,88,visible,245.519,203.399,2.125,265,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,89,visible,243.402,203.584,2.125,265,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,90,visible,241.285,203.769,2.125,265,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,91,visible,239.168,203.954,2.125,265,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,92,visible,237.242,204.852,2.125,245,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,93,visible,236.344,206.778,2.125,205,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,94,visible,236.713,208.871,2.125,170,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,95,visible,238.341,210.237,2.125,130,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,96,visible,240.466,210.237,2.125,90,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,97,visible,242.094,208.871,2.125,50,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,98,visible,242.463,206.778,2.125,10,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,99,visible,241.4,204.938,2.125,330,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,100,visible,239.403,204.211,2.125,290,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,101,visible,237.406,204.938,2.125,250,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,102,visible,236.344,206.778,2.125,210,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,103,visible,236.713,208.871,2.125,170,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,104,visible,238.341,210.237,2.125,130,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,105,visible,240.466,210.237,2.125,90,1,0.61
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,106,visible,242.306,209.174,2.125,60,1,0.62
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,107,visible,243.204,207.248,2.125,25,1,0.62
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,108,visible,242.654,205.195,2.125,345,1,0.62
4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,109,visible,240.913,203.976,2.125,305,1,0.62
