pid,tick,latency
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,22,105
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,23,49.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,24,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,24,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,24,48
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,25,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,25,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,25,48
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,26,28
6598-d0c90d01-a279-4cce-8851-10c07513efe2,26,28.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,26,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,27,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,27,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,27,47
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,28,26
6598-d0c90d01-a279-4cce-8851-10c07513efe2,28,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,28,49
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,29,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,29,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,29,47.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,30,25
6598-d0c90d01-a279-4cce-8851-10c07513efe2,30,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,30,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,31,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,31,29
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,31,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,32,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,32,45
6598-d0c90d01-a279-4cce-8851-10c07513efe2,32,58
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,33,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,33,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,33,50
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,34,23
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,34,48
6598-d0c90d01-a279-4cce-8851-10c07513efe2,34,59
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,35,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,35,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,35,68.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,36,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,36,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,36,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,37,25
6598-d0c90d01-a279-4cce-8851-10c07513efe2,37,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,37,52
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,38,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,38,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,38,47
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,39,23
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,39,45
6598-d0c90d01-a279-4cce-8851-10c07513efe2,39,62.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,40,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,40,27.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,40,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,41,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,41,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,41,46
