pid,tick,latency
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,2405,31
5227-c3a90911-0c13-4be9-b900-525ca43b3537,2405,52
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,0,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,0,38.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,1,34
5227-c3a90911-0c13-4be9-b900-525ca43b3537,1,40
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,2,33.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,2,39
5227-c3a90911-0c13-4be9-b900-525ca43b3537,3,43
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,3,46.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,4,49
5227-c3a90911-0c13-4be9-b900-525ca43b3537,4,49.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,5,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,5,39
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,6,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,6,57
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,7,30.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,7,41
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,8,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,8,51.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,9,31
5227-c3a90911-0c13-4be9-b900-525ca43b3537,9,51.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,10,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,10,38.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,11,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,11,49.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,12,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,12,38
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,13,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,13,42
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,14,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,14,38.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,15,31
5227-c3a90911-0c13-4be9-b900-525ca43b3537,15,50.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,16,33.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,16,49
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,17,32
5227-c3a90911-0c13-4be9-b900-525ca43b3537,17,39.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,18,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,18,59
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,19,32
5227-c3a90911-0c13-4be9-b900-525ca43b3537,19,41
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,20,32
5227-c3a90911-0c13-4be9-b900-525ca43b3537,20,38.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,21,32
5227-c3a90911-0c13-4be9-b900-525ca43b3537,21,42
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,22,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,22,49.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,23,33
5227-c3a90911-0c13-4be9-b900-525ca43b3537,23,39
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,24,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,24,39
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,25,31
5227-c3a90911-0c13-4be9-b900-525ca43b3537,25,41.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,26,39.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,26,54
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,27,41.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,27,59.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,28,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,28,39.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,29,34
5227-c3a90911-0c13-4be9-b900-525ca43b3537,29,49
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,30,37
5227-c3a90911-0c13-4be9-b900-525ca43b3537,30,48
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,31,31.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,31,40
5227-c3a90911-0c13-4be9-b900-525ca43b3537,32,41
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,32,43
5227-c3a90911-0c13-4be9-b900-525ca43b3537,33,40
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,33,45
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,34,44
5227-c3a90911-0c13-4be9-b900-525ca43b3537,34,49.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,35,40.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,35,55.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,36,39
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,36,53
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,37,39
5227-c3a90911-0c13-4be9-b900-525ca43b3537,37,47.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,38,40.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,38,42
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,39,37
5227-c3a90911-0c13-4be9-b900-525ca43b3537,39,41
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,40,36
5227-c3a90911-0c13-4be9-b900-525ca43b3537,40,47
5227-c3a90911-0c13-4be9-b900-525ca43b3537,41,41
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,41,43
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,42,35
5227-c3a90911-0c13-4be9-b900-525ca43b3537,42,58
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,43,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,43,47
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,44,37
5227-c3a90911-0c13-4be9-b900-525ca43b3537,44,51
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,45,40.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,45,47.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,46,40.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,46,44
5227-c3a90911-0c13-4be9-b900-525ca43b3537,47,39.5
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,47,50
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,48,32.5
5227-c3a90911-0c13-4be9-b900-525ca43b3537,48,49
6580-4b510464-c6d7-4c1e-ba48-084005f4dc53,49,33.5
