pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,23,visible,290.577,92.336,2.125,55,0.31000000000000005,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,23,visible,284.202,163.337,7.125,230,0.75,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,24,visible,292.318,91.117,2.125,55,0.29000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,24,visible,278.744,167.917,7.125,230,0.76,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,25,visible,294.059,89.898,2.125,55,0.28,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,25,visible,272.049,170.354,7.125,250,0.76,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,26,visible,299.895,85.811,7.125,55,0.28,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,26,visible,264.951,170.975,7.125,265,0.76,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,27,visible,305.731,81.724,7.125,55,0.25,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,27,visible,257.853,171.596,7.125,265,0.8,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,28,visible,311.567,77.637,7.125,55,0.21999999999999997,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,28,visible,250.755,172.217,7.125,265,0.8200000000000001,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,29,visible,314.004,70.942,7.125,20,0.24,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,29,visible,243.738,170.98,7.125,280,0.86,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,30,visible,316.441,64.247,7.125,20,0.18999999999999995,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,30,visible,238.28,166.4,7.125,310,0.85,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,31,visible,318.878,57.552,7.125,20,0.18999999999999995,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,31,visible,232.822,161.82,7.125,310,0.78,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,32,visible,321.315,50.857,7.125,20,0.18000000000000005,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,32,visible,227.364,157.24,7.125,310,0.76,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,33,visible,323.752,44.162,7.125,20,0.15000000000000002,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,33,visible,221.906,152.66,7.125,310,0.73,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,34,visible,326.189,37.467,7.125,20,0.17000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,34,visible,215.736,149.097,7.125,300,0.71,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,35,visible,323.752,30.772,7.125,340,0.22999999999999998,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,35,visible,208.719,150.334,7.125,260,0.6699999999999999,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,36,visible,317.057,28.335,7.125,290,0.27,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,36,visible,202.549,153.897,7.125,240,0.7,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,37,visible,310.362,25.898,7.125,290,0.24,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,37,visible,196.379,157.459,7.125,240,0.71,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,38,visible,303.667,23.461,7.125,290,0.25,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,38,visible,190.921,162.039,7.125,230,0.6699999999999999,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,39,visible,296.972,21.024,7.125,290,0.25,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,39,visible,191.542,169.137,7.125,175,0.6699999999999999,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,40,visible,290.277,18.587,7.125,290,0.22999999999999998,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,40,visible,192.163,176.235,7.125,175,0.65,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,41,visible,283.582,16.15,7.125,290,0.17000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,41,visible,192.784,183.333,7.125,175,0.65,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,42,visible,276.887,13.713,7.125,290,0.17000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,42,visible,193.405,190.431,7.125,175,0.62,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,43,visible,270.192,11.276,7.125,290,0.17000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,43,visible,198.863,195.011,7.125,130,0.64,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,44,visible,263.094,10.655,7.125,275,0.17000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,44,visible,204.321,199.591,7.125,130,0.7,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,45,visible,257.258,14.742,7.125,235,0.19999999999999996,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,45,visible,209.779,204.171,7.125,130,0.74,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,46,visible,254.821,21.437,7.125,200,0.24,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,46,visible,215.237,208.751,7.125,130,0.79,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,47,visible,257.258,28.132,7.125,160,0.22999999999999998,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,47,visible,220.695,213.331,7.125,130,0.84,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,48,visible,262.716,32.712,7.125,130,0.18999999999999995,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,48,visible,226.153,217.911,7.125,130,0.92,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,49,visible,268.174,37.292,7.125,130,0.19999999999999996,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,49,visible,231.611,222.491,7.125,130,0.98,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,50,visible,273.632,41.872,7.125,130,0.19999999999999996,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,50,visible,238.709,223.112,7.125,95,1,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,51,visible,279.09,46.452,7.125,130,0.16000000000000003,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,51,visible,245.591,221.268,7.125,75,1,0.34
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,52,visible,284.548,51.032,7.125,130,0.15000000000000002,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,52,visible,250.171,215.81,7.125,40,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,53,visible,290.006,55.612,7.125,130,0.18000000000000005,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,53,visible,251.537,214.182,2.125,40,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,54,visible,295.464,60.192,7.125,130,0.15000000000000002,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,54,visible,252.903,212.554,2.125,40,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,55,visible,300.922,64.772,7.125,130,0.17000000000000004,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,55,visible,253.088,210.437,2.125,5,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,56,visible,306.38,69.352,7.125,130,0.26,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,56,visible,253.273,208.32,2.125,5,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,57,visible,311.838,73.932,7.125,130,0.31999999999999995,0.45
