x_pos,y_pos
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
407.82116843538006,216.36165629215415
405.9113053523744,215.42996535403557
404.0014422693688,214.498274415917
402.09157918636316,213.56658347779842
400.18171610335753,212.63489253967984
398.2718530203519,211.70320160156126
396.36198993734627,210.77151066344268
394.45212685434063,209.8398197253241
392.542263771335,208.90812878720553
390.63240068832937,207.97643784908695
388.72253760532374,207.04474691096837
386.8126745223181,206.1130559728498
384.9028114393125,205.18136503473121
382.99294835630684,204.24967409661264
381.0830852733012,203.31798315849406
379.1732221902956,202.38629222037548
377.26335910728994,201.4546012822569
375.3534960242843,200.52291034413832
373.4436329412787,199.59121940601975
371.53376985827305,198.65952846790117
369.6239067752674,197.7278375297826
367.7140436922618,196.796146591664
365.80418060925615,195.86445565354543
363.8943175262505,194.93276471542686
361.9844544432449,194.00107377730828
360.07459136023925,193.0693828391897
358.1647282772336,192.13769190107112
356.254865194228,191.20600096295254
354.34500211122236,190.27431002483397
352.4351390282167,189.3426190867154
350.5252759452111,188.4109281485968
348.61541286220546,187.47923721047823
346.7055497791998,186.54754627235965
344.7956866961942,185.61585533424108
342.88582361318856,184.6841643961225
340.97596053018293,183.75247345800392
339.0660974471773,182.82078251988534
337.15623436417167,181.88909158176676
335.24637128116603,180.95740064364819
333.3365081981604,180.0257097055296
331.42664511515477,179.09401876741103
329.51678203214914,178.16232782929245
327.6069189491435,177.23063689117387
325.6970558661379,176.2989459530553
323.78719278313224,175.36725501493672
321.8773297001266,174.43556407681814
319.967466617121,173.50387313869956
318.05760353411534,172.57218220058098
316.1477404511097,171.6404912624624
314.2378773681041,170.70880032434383
312.32801428509845,169.77710938622525
310.4181512020928,168.84541844810667
308.5082881190872,167.9137275099881
306.59842503608155,166.98203657186951
304.6885619530759,166.05034563375094
302.7786988700703,165.11865469563236
300.86883578706465,164.18696375751378
298.958972704059,163.2552728193952
297.0491096210534,162.32358188127662
295.13924653804776,161.39189094315805
293.2293834550421,160.46020000503947
291.3195203720365,159.5285090669209
289.40965728903086,158.5968181288023
287.49979420602523,157.66512719068373
285.5899311230196,156.73343625256516
283.68006804001396,155.80174531444658
281.77020495700833,154.870054376328
279.8603418740027,153.93836343820942
277.95047879099707,153.00667250009084
276.04061570799144,152.07498156197227
274.1307526249858,151.1432906238537
272.22088954198017,150.2115996857351
270.31102645897454,149.27990874761653
268.4011633759689,148.34821780949795
266.4913002929633,147.41652687137938
264.58143720995764,146.4848359332608
262.671574126952,145.55314499514222
260.7617110439464,144.62145405702364
258.85184796094074,143.68976311890506
256.9419848779351,142.75807218078648
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
101.02637679488042,148.70460100940556
103.05497362587018,149.3373884123288
105.08357045685993,149.97017581525205
107.11216728784969,150.6029632181753
109.14076411883944,151.23575062109853
111.1693609498292,151.86853802402177
113.19795778081895,152.50132542694502
115.22655461180871,153.13411282986826
117.25515144279846,153.7669002327915
119.28374827378822,154.39968763571474
121.31234510477798,155.03247503863798
123.34094193576773,155.66526244156123
125.36953876675749,156.29804984448447
127.39813559774724,156.9308372474077
129.42673242873698,157.56362465033095
131.45532925972674,158.1964120532542
133.4839260907165,158.82919945617743
135.51252292170625,159.46198685910068
137.541119752696,160.09477426202392
139.56971658368576,160.72756166494716
141.59831341467552,161.3603490678704
143.62691024566527,161.99313647079364
145.65550707665503,162.62592387371689
147.68410390764478,163.25871127664013
149.71270073863454,163.89149867956337
151.7412975696243,164.5242860824866
153.76989440061405,165.15707348540985
155.7984912316038,165.7898608883331
157.82708806259356,166.42264829125634
159.85568489358332,167.05543569417958
161.88428172457307,167.68822309710282
163.91287855556283,168.32101050002606
165.94147538655258,168.9537979029493
167.97007221754234,169.58658530587255
169.9986690485321,170.2193727087958
172.02726587952185,170.852160111719
174.0558627105116,171.48494751464224
176.08445954150136,172.11773491756549
178.11305637249112,172.7505223204887
180.14165320348087,173.38330972341194
182.17025003447063,174.01609712633518
184.19884686546038,174.6488845292584
186.22744369645014,175.28167193218164
188.2560405274399,175.91445933510488
190.28463735842965,176.5472467380281
192.3132341894194,177.1800341409513
194.34183102040916,177.81282154387455
196.37042785139892,178.4456089467978
198.39902468238867,179.078396349721
200.42762151337843,179.71118375264422
202.45621834436818,180.34397115556746
204.48481517535794,180.97675855849067
206.5134120063477,181.60954596141391
208.54200883733745,182.24233336433713
210.5706056683272,182.87512076726037
212.59920249931696,183.50790817018358
214.62779933030671,184.14069557310683
216.65639616129647,184.77348297603004
218.68499299228623,185.40627037895328
220.71358982327598,186.0390577818765
222.74218665426574,186.67184518479974
224.7707834852555,187.30463258772295
226.79938031624525,187.9374199906462
225.28715333331584,186.44450520670836
223.77492635038644,184.95159042277052
