pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
2,12,true,296.053569911,93.0876615556,7.125,214.707211255,0.2,,213,213,False,False
3,12,true,470.858399606,131.819382922,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,12,true,289.739435349,266.96589734,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,13,true,179.504704368,121.624195063,7.125,230.842817559,0.2,,28,245,False,False
1,13,true,143.352436597,126.582396265,7.125,280.897887063,0.2,,78,114,False,False
2,13,true,291.996716078,98.9449272981,7.125,214.707211255,0.2,,213,213,False,False
3,13,true,470.105302259,124.734295104,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,13,true,296.857068149,267.289823772,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,14,true,173.979861147,126.123276345,7.125,230.842817559,0.2,,28,245,False,False
1,14,true,136.355931088,125.235349248,7.125,280.897887063,0.2,,78,114,False,False
2,14,true,287.939862245,104.802193041,7.125,214.707211255,0.2,,213,213,False,False
3,14,true,469.352204913,117.649207287,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,14,true,303.974700948,267.613750204,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,15,true,168.455017925,130.622357627,7.125,230.842817559,0.2,,28,245,False,False
1,15,true,129.359425579,123.888302231,7.125,280.897887063,0.2,,78,114,False,False
2,15,true,283.883008412,110.659458783,7.125,214.707211255,0.2,,213,213,False,False
3,15,true,468.599107567,110.564119469,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,15,true,311.092333747,267.937676635,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,16,true,162.930174704,135.121438909,7.125,230.842817559,0.2,,28,245,False,False
1,16,true,122.36292007,122.541255214,7.125,280.897887063,0.2,,78,114,False,False
2,16,true,279.82615458,116.516724526,7.125,214.707211255,0.2,,213,213,False,False
3,16,true,467.84601022,103.479031651,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,16,true,318.209966547,268.261603067,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,17,true,157.405331483,139.620520191,7.125,230.842817559,0.2,,28,245,False,False
1,17,true,115.366414562,121.194208196,7.125,280.897887063,0.2,,78,114,False,False
2,17,true,275.769300747,122.373990268,7.125,214.707211255,0.2,,213,213,False,False
3,17,true,467.092912874,96.393943833,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,17,true,325.327599346,268.585529499,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,18,true,151.880488262,144.119601473,7.125,230.842817559,0.2,,28,245,False,False
1,18,true,108.369909053,119.847161179,7.125,280.897887063,0.2,,78,114,False,False
2,18,true,271.712446914,128.231256011,7.125,214.707211255,0.2,,213,213,False,False
3,18,true,466.339815528,89.3088560151,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,18,true,332.445232145,268.909455931,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,19,true,146.355645041,148.618682755,7.125,230.842817559,0.2,,28,245,False,False
1,19,true,101.373403544,118.500114162,7.125,280.897887063,0.2,,78,114,False,False
2,19,true,267.655593081,134.088521753,7.125,214.707211255,0.2,,213,213,False,False
3,19,true,465.586718181,82.2237681972,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,19,true,339.562864945,269.233382363,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,20,true,140.83080182,153.117764037,7.125,230.842817559,0.2,,28,245,False,False
1,20,true,94.3768980355,117.153067145,7.125,280.897887063,0.2,,78,114,False,False
2,20,true,263.598739248,139.945787496,7.125,214.707211255,0.2,,213,213,False,False
3,20,true,464.833620835,75.1386803793,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,20,true,346.680497744,269.557308795,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,21,true,135.305958599,157.616845319,7.125,230.842817559,0.2,,28,245,False,False
1,21,true,87.3803925268,115.806020128,7.125,280.897887063,0.2,,78,114,False,False
2,21,true,259.541885415,145.803053238,7.125,214.707211255,0.2,,213,213,False,False
3,21,true,464.080523489,68.0535925615,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,21,true,353.798130544,269.881235226,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,22,true,129.781115378,162.115926601,7.125,230.842817559,0.2,,28,245,False,False
1,22,true,80.3838870181,114.458973111,7.125,280.897887063,0.2,,78,114,False,False
2,22,true,255.485031582,151.660318981,7.125,214.707211255,0.2,,213,213,False,False
3,22,true,463.327426142,60.9685047436,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,22,true,360.915763343,270.205161658,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,23,true,124.256272157,166.615007883,7.125,230.842817559,0.2,,28,245,False,False
1,23,true,78.2972099365,114.057222246,2.125,280.897887063,0.2,,78,114,False,False
2,23,true,251.428177749,157.517584723,7.125,214.707211255,0.2,,213,213,False,False
3,23,true,462.574328796,53.8834169257,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,23,true,368.033396142,270.52908809,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,24,true,118.731428935,171.114089165,7.125,230.842817559,0.2,,28,245,False,False
1,24,true,84.9967142557,116.482560754,7.125,109.901147814,0.2,,440,245,False,False
2,24,true,247.371323916,163.374850466,7.125,214.707211255,0.2,,213,213,False,False
3,24,true,461.82123145,46.7983291079,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,24,true,375.151028942,270.853014522,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,25,true,113.206585714,175.613170447,7.125,230.842817559,0.2,,28,245,False,False
1,25,true,91.6962185748,118.907899262,7.125,109.901147814,0.2,,440,245,False,False
2,25,true,243.314470083,169.232116208,7.125,214.707211255,0.2,,213,213,False,False
3,25,true,461.068134103,39.71324129,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,25,true,382.268661741,271.176940954,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,26,true,107.681742493,180.112251729,7.125,230.842817559,0.2,,28,245,False,False
1,26,true,98.395722894,121.333237769,7.125,109.901147814,0.2,,440,245,False,False
2,26,true,239.25761625,175.089381951,7.125,214.707211255,0.2,,213,213,False,False
3,26,true,460.315036757,32.6281534721,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,26,true,389.38629454,271.500867386,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,27,true,102.156899272,184.611333011,7.125,230.842817559,0.2,,28,245,False,False
1,27,true,105.095227213,123.758576277,7.125,109.901147814,0.2,,440,245,False,False
2,27,true,235.200762417,180.946647693,7.125,214.707211255,0.2,,213,213,False,False
3,27,true,459.561939411,25.5430656543,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,27,true,396.50392734,271.824793817,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,28,true,96.632056051,189.110414293,7.125,230.842817559,0.2,,28,245,False,False
1,28,true,111.794731532,126.183914785,7.125,109.901147814,0.2,,440,245,False,False
2,28,true,231.143908584,186.803913436,7.125,214.707211255,0.2,,213,213,False,False
3,28,true,458.808842064,18.4579778364,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,28,true,403.621560139,272.148720249,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,29,true,91.1072128299,193.609495575,7.125,230.842817559,0.2,,28,245,False,False
1,29,true,118.494235851,128.609253293,7.125,109.901147814,0.2,,440,245,False,False
2,29,true,227.087054751,192.661179178,7.125,214.707211255,0.2,,213,213,False,False
3,29,true,458.055744718,11.3728900185,7.125,353.932624502,0.2,,457.912035452,10.0208831666,False,False
4,29,true,410.739192939,272.472646681,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,30,true,85.5823696088,198.108576857,7.125,230.842817559,0.2,,28,245,False,False
1,30,true,125.193740171,131.034591801,7.125,109.901147814,0.2,,440,245,False,False
2,30,true,223.030200919,198.518444921,7.125,214.707211255,0.2,,213,213,False,False
3,30,true,450.93443358,11.6021337393,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
4,30,true,417.856825738,272.796573113,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,31,true,80.0575263876,202.607658139,7.125,230.842817559,0.2,,28,245,False,False
1,31,true,131.89324449,133.459930308,7.125,109.901147814,0.2,,440,245,False,False
2,31,true,218.973347086,204.375710663,7.125,214.707211255,0.2,,213,213,False,False
3,31,true,443.813122443,11.8313774601,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
4,31,true,424.974458537,273.120499545,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,32,true,74.5326831665,207.106739421,7.125,230.842817559,0.2,,28,245,False,False
1,32,true,138.592748809,135.885268816,7.125,109.901147814,0.2,,440,245,False,False
2,32,true,214.916493253,210.232976406,7.125,214.707211255,0.2,,213,213,False,False
3,32,true,436.691811306,12.0606211809,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
4,32,true,432.092091337,273.444425977,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,33,true,69.0078399454,211.605820703,7.125,230.842817559,0.2,,28,245,False,False
1,33,true,145.292253128,138.310607324,7.125,109.901147814,0.2,,440,245,False,False
2,33,true,213.70655439,211.979880224,2.125,214.707211255,0.2,,213,213,False,False
3,33,true,429.570500168,12.2898649017,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
4,33,true,439.209724136,273.768352408,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,34,true,63.4829967243,216.104901985,7.125,230.842817559,0.2,,28,245,False,False
1,34,true,151.991757447,140.735945832,7.125,109.901147814,0.2,,440,245,False,False
2,34,true,220.29609547,214.689783056,7.125,112.354573621,0.2,,294,245,False,False
3,34,true,422.449189031,12.5191086224,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
4,34,true,446.327356935,274.09227884,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,35,true,57.9581535032,220.603983267,7.125,230.842817559,0.2,,28,245,False,False
1,35,true,158.691261766,143.16128434,7.125,109.901147814,0.2,,440,245,False,False
2,35,true,226.885636549,217.399685889,7.125,112.354573621,0.2,,294,245,False,False
3,35,true,415.327877893,12.7483523432,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
4,35,true,453.444989735,274.416205272,7.125,92.6057567582,0.2,,480.360474383,275.641140184,False,False
0,36,true,52.4333102821,225.103064549,7.125,230.842817559,0.2,,28,245,False,False
1,36,true,165.390766086,145.586622848,7.125,109.901147814,0.2,,440,245,False,False
2,36,true,233.475177628,220.109588722,7.125,112.354573621,0.2,,294,245,False,False
3,36,true,408.206566756,12.977596064,7.125,268.156215451,0.2,,15.7082546616,25.6125970814,False,False
