pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
1,12,true,375.237971363,177.626715523,2.125,339.207632735,0.2,,375,177,False,False
2,12,true,376.852328546,59.3876177106,7.125,248.071353365,0.2,,194,133,False,False
3,12,true,275.692843518,18.9538141576,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,12,true,381.346564434,272.864204024,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,13,true,153.280239116,160.07812198,7.125,18.0125914488,0.2,,192,41,False,False
1,13,true,378.217121087,171.154444521,7.125,24.7163479312,0.2,,428,63,False,False
2,13,true,370.242824774,62.0484606011,7.125,248.071353365,0.2,,194,133,False,False
3,13,true,268.581439311,18.5138650685,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,13,true,374.222153107,272.955791377,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,14,true,155.483474317,153.302328326,7.125,18.0125914488,0.2,,192,41,False,False
1,14,true,381.196270812,164.682173519,7.125,24.7163479312,0.2,,428,63,False,False
2,14,true,363.633321002,64.7093034915,7.125,248.071353365,0.2,,194,133,False,False
3,14,true,261.470035103,18.0739159794,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,14,true,367.09774178,273.04737873,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,15,true,157.686709519,146.526534671,7.125,18.0125914488,0.2,,192,41,False,False
1,15,true,384.175420536,158.209902517,7.125,24.7163479312,0.2,,428,63,False,False
2,15,true,357.02381723,67.3701463819,7.125,248.071353365,0.2,,194,133,False,False
3,15,true,254.358630896,17.6339668903,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,15,true,359.973330453,273.138966084,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,16,true,159.889944721,139.750741017,7.125,18.0125914488,0.2,,192,41,False,False
1,16,true,387.15457026,151.737631515,7.125,24.7163479312,0.2,,428,63,False,False
2,16,true,350.414313458,70.0309892724,7.125,248.071353365,0.2,,194,133,False,False
3,16,true,247.247226689,17.1940178012,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,16,true,352.848919126,273.230553437,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,17,true,162.093179922,132.974947363,7.125,18.0125914488,0.2,,192,41,False,False
1,17,true,390.133719984,145.265360514,7.125,24.7163479312,0.2,,428,63,False,False
2,17,true,343.804809686,72.6918321628,7.125,248.071353365,0.2,,194,133,False,False
3,17,true,240.135822482,16.7540687121,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,17,true,345.724507799,273.32214079,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,18,true,164.296415124,126.199153708,7.125,18.0125914488,0.2,,192,41,False,False
1,18,true,393.112869709,138.793089512,7.125,24.7163479312,0.2,,428,63,False,False
2,18,true,337.195305914,75.3526750532,7.125,248.071353365,0.2,,194,133,False,False
3,18,true,233.024418274,16.314119623,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,18,true,338.600096472,273.413728144,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,19,true,166.499650326,119.423360054,7.125,18.0125914488,0.2,,192,41,False,False
1,19,true,396.092019433,132.32081851,7.125,24.7163479312,0.2,,428,63,False,False
2,19,true,330.585802142,78.0135179437,7.125,248.071353365,0.2,,194,133,False,False
3,19,true,225.913014067,15.8741705339,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,19,true,331.475685145,273.505315497,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,20,true,168.702885527,112.6475664,7.125,18.0125914488,0.2,,192,41,False,False
1,20,true,399.071169157,125.848547508,7.125,24.7163479312,0.2,,428,63,False,False
2,20,true,323.97629837,80.6743608341,7.125,248.071353365,0.2,,194,133,False,False
3,20,true,218.80160986,15.4342214448,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,20,true,324.351273818,273.59690285,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,21,true,170.906120729,105.871772745,7.125,18.0125914488,0.2,,192,41,False,False
1,21,true,402.050318881,119.376276506,7.125,24.7163479312,0.2,,428,63,False,False
2,21,true,317.366794597,83.3352037245,7.125,248.071353365,0.2,,194,133,False,False
3,21,true,211.690205653,14.9942723557,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,21,true,317.226862491,273.688490204,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,22,true,173.109355931,99.095979091,7.125,18.0125914488,0.2,,192,41,False,False
1,22,true,405.029468606,112.904005505,7.125,24.7163479312,0.2,,428,63,False,False
2,22,true,310.757290825,85.9960466149,7.125,248.071353365,0.2,,194,133,False,False
3,22,true,204.578801445,14.5543232666,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,22,true,310.102451164,273.780077557,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,23,true,175.312591133,92.3201854367,7.125,18.0125914488,0.2,,192,41,False,False
1,23,true,408.00861833,106.431734503,7.125,24.7163479312,0.2,,428,63,False,False
2,23,true,304.147787053,88.6568895054,7.125,248.071353365,0.2,,194,133,False,False
3,23,true,197.467397238,14.1143741775,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,23,true,302.978039837,273.87166491,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,24,true,177.515826334,85.5443917823,7.125,18.0125914488,0.2,,192,41,False,False
1,24,true,410.987768054,99.9594635012,7.125,24.7163479312,0.2,,428,63,False,False
2,24,true,297.538283281,91.3177323958,7.125,248.071353365,0.2,,194,133,False,False
3,24,true,190.355993031,13.6744250883,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,24,true,295.85362851,273.963252264,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,25,true,179.719061536,78.768598128,7.125,18.0125914488,0.2,,192,41,False,False
1,25,true,413.966917779,93.4871924994,7.125,24.7163479312,0.2,,428,63,False,False
2,25,true,290.928779509,93.9785752862,7.125,248.071353365,0.2,,194,133,False,False
3,25,true,183.244588824,13.2344759992,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,25,true,288.729217183,274.054839617,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,26,true,181.922296738,71.9928044737,7.125,18.0125914488,0.2,,192,41,False,False
1,26,true,416.946067503,87.0149214976,7.125,24.7163479312,0.2,,428,63,False,False
2,26,true,284.319275737,96.6394181767,7.125,248.071353365,0.2,,194,133,False,False
3,26,true,176.133184616,12.7945269101,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,26,true,281.604805856,274.14642697,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,27,true,184.125531939,65.2170108193,7.125,18.0125914488,0.2,,192,41,False,False
