x_pos,y_pos
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
191.7874810282246,263.38140796792806
189.66738543868755,263.52569826983904
187.5472898491505,263.66998857175
185.42719425961346,263.814278873661
183.3070986700764,263.958569175572
181.18700308053937,264.102859477483
179.06690749100233,264.24714977939396
176.94681190146528,264.39144008130495
174.82671631192824,264.53573038321593
172.7066207223912,264.6800206851269
170.58652513285415,264.8243109870379
168.4664295433171,264.9686012889489
166.34633395378006,265.1128915908599
164.22623836424302,265.2571818927708
162.10614277470597,265.4014721946818
159.98604718516893,265.5457624965927
157.86595159563188,265.6900527985037
155.74585600609484,265.8343431004146
153.6257604165578,265.9786334023256
151.50566482702075,266.12292370423654
149.3855692374837,266.2672140061475
147.26547364794666,266.41150430805845
145.14537805840962,266.55579460996944
143.02528246887258,266.70008491188037
140.90518687933553,266.84437521379135
138.7850912897985,266.9886655157023
136.66499570026144,267.13295581761327
134.5449001107244,267.2772461195242
132.42480452118735,267.4215364214352
130.3047089316503,267.5658267233461
128.18461334211327,267.7101170252571
126.06451775257622,267.854407327168
123.94442216303918,267.998697629079
121.82432657350213,268.14298793098993
119.70423098396509,268.2872782329009
117.58413539442805,268.43156853481184
115.464039804891,268.5758588367228
113.34394421535396,268.72014913863376
111.22384862581691,268.8644394405447
109.10375303627987,269.00872974245567
106.98365744674282,269.1530200443666
104.86356185720578,269.2973103462776
102.74346626766874,269.4416006481885
100.62337067813169,269.5858909500995
98.50327508859465,269.7301812520104
96.3831794990576,269.8744715539214
94.26308390952056,270.01876185583234
92.14298831998352,270.1630521577433
90.02289273044647,270.30734245965425
87.90279714090943,270.45163276156524
85.78270155137238,270.59592306347616
83.66260596183534,270.74021336538715
81.5425103722983,270.8845036672981
79.42241478276125,271.02879396920906
77.3023191932242,271.17308427112
75.18222360368716,271.317374573031
73.06212801415012,271.4616648749419
70.94203242461307,271.6059551768529
68.82193683507603,271.7502454787638
66.70184124553899,271.8945357806748
64.58174565600194,272.03882608258573
62.46165006646489,272.1831163844967
60.34155447692784,272.32740668640764
58.22145888739079,272.4716969883186
56.10136329785374,272.61598729022955
53.981267708316686,272.76027759214054
51.861172118779635,272.90456789405147
49.741076529242584,273.04885819596245
47.62098093970553,273.1931484978734
45.50088535016848,273.33743879978437
43.38078976063143,273.4817291016953
41.26069417109438,273.6260194036063
39.14059858155733,273.7703097055172
37.020502992020276,273.9146000074282
34.900407402483225,274.0588903093391
32.780311812946174,274.2031806112501
30.660216223409126,274.34747091316103
28.54012063387208,274.491761215072
26.42002504433503,274.63605151698295
24.299929454797983,274.78034181889393
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
410.977070314582,22.381505995000133
413.06951969357584,22.010992032579797
415.16196907256966,21.64047807015946
417.2544184515635,21.269964107739124
419.3468678305573,20.899450145318788
421.4393172095511,20.528936182898452
423.53176658854494,20.158422220478116
425.62421596753876,19.787908258057776
427.7166653465326,19.417394295637436
429.8091147255264,19.046880333217096
431.9015641045202,18.676366370796757
433.99401348351404,18.305852408376417
436.08646286250786,17.935338445956077
438.1789122415017,17.564824483535737
440.2713616204955,17.194310521115398
442.3638109994893,16.823796558695058
444.45626037848314,16.45328259627472
446.54870975747696,16.08276863385438
448.6411591364708,15.71225467143404
450.7336085154646,15.341740709013703
452.8260578944584,14.971226746593365
454.91850727345224,14.600712784173025
457.01095665244605,14.230198821752685
459.1034060314399,13.859684859332345
461.1958554104337,13.489170896912006
463.2883047894275,13.118656934491664
465.38075416842133,12.748142972071324
467.47320354741515,12.377629009650981
469.565652926409,12.00711504723064
469.56535330141895,14.132115026107078
469.56505367642893,16.25711500498352
469.5647540514389,18.382114983859957
469.5644544264489,20.507114962736395
469.56415480145887,22.632114941612834
469.56385517646885,24.757114920489272
469.5635555514788,26.88211489936571
469.5632559264888,29.00711487824215
469.5629563014988,31.132114857118587
469.56265667650877,33.257114835995026
469.56235705151875,35.382114814871464
469.5620574265287,37.5071147937479
469.5617578015387,39.63211477262434
469.5614581765487,41.75711475150078
469.56115855155866,43.88211473037722
469.56085892656864,46.007114709253656
469.5605593015786,48.132114688130095
469.5602596765886,50.25711466700653
469.5599600515986,52.38211464588297
469.55966042660856,54.50711462475941
469.55936080161854,56.63211460363585
469.5590611766285,58.75711458251229
469.5587615516385,60.882114561388725
469.5584619266485,63.007114540265164
469.55816230165846,65.13211451914161
469.55786267666844,67.25711449801805
469.5575630516784,69.3821144768945
469.5572634266884,71.50711445577095
469.5569638016984,73.63211443464739
469.55666417670835,75.75711441352384
469.55636455171833,77.88211439240028
469.5560649267283,80.00711437127673
469.5557653017383,82.13211435015317
469.55546567674827,84.25711432902962
469.55516605175825,86.38211430790606
469.5548664267682,88.50711428678251
