pid,tick,latency
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,0,12
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,1,5.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,2,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,3,4
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,4,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,5,3
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,6,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,7,3.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,8,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,9,3
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,10,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,11,9
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,12,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,13,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,14,2.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,15,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,16,2.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,17,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,18,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,19,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,20,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,21,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,22,2
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,23,2.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,24,2.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,25,1.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,26,2.5
0001-6f1ac01d-24a3-41ca-916a-ee92bce43b9a,27,1
