pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,48,visible,95.998,139.626,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,49,visible,95.1,137.7,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,50,visible,94.202,135.774,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,51,visible,93.304,133.848,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,52,visible,92.406,131.922,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,53,visible,91.508,129.996,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,54,visible,90.61,128.07,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,55,visible,89.712,126.144,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,56,visible,88.814,124.218,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,57,visible,87.916,122.292,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,58,visible,87.018,120.366,2.125,335,0.58,0.01
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,59,visible,86.12,118.44,2.125,335,0.58,0.02
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,60,visible,85.222,116.514,2.125,335,0.58,0.02
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,61,visible,84.324,114.588,2.125,335,0.58,0.02
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,62,visible,83.426,112.662,2.125,335,0.58,0.02
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,63,visible,82.528,110.736,2.125,335,0.58,0.02
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,64,visible,81.63,108.81,2.125,335,0.58,0.02
7524-2ddf8656-c0ef-4913-a69d-777d47cf4f78,65,visible,80.732,106.884,2.125,335,0.58,0.02
