date,n_players_planned,noise,difficulty,gameid,pid,half,avg_score,n_players
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,0112-d3cc59c4-4301-42d3-ab4f-2ff3c64b543e,first,0.1460583333333334,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,0112-d3cc59c4-4301-42d3-ab4f-2ff3c64b543e,second,0.2988187134502924,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,3580-d876de84-6e34-495f-b252-57eecc311eae,first,0.7494666666666667,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,3580-d876de84-6e34-495f-b252-57eecc311eae,second,0.801136904761905,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,3596-fcd6109a-f9bf-4853-95a4-4809e3822cee,first,0.43225000000000013,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,3596-fcd6109a-f9bf-4853-95a4-4809e3822cee,second,0.4033333333333333,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,7445-aac1aa56-6bce-4748-9af7-17636c64cd7a,first,0.6139583333333333,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-32-5-407,8,3,high noise,745098564075.csv,7445-aac1aa56-6bce-4748-9af7-17636c64cd7a,second,0.5072738095238095,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,0650-8ec13177-f231-4d8a-ab6e-113d000493dc,first,0.7772250000000002,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,0650-8ec13177-f231-4d8a-ab6e-113d000493dc,second,0.6557559523809516,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,3199-c8a58735-c159-4e21-8dcf-5a95a14a63b4,first,0.5842333333333337,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,3199-c8a58735-c159-4e21-8dcf-5a95a14a63b4,second,0.7150238095238084,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,4953-21c5f3cc-1150-4590-aee6-0fa4f9733731,first,0.5924500000000003,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,4953-21c5f3cc-1150-4590-aee6-0fa4f9733731,second,0.6073511904761905,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,9229-818504c0-2843-47a9-a703-afe4b88c1502,first,0.7480916666666666,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-41-40-481,8,2,high noise,816255721962.csv,9229-818504c0-2843-47a9-a703-afe4b88c1502,second,0.6751547619047614,4
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-46-41-665,8,3,high noise,790439564036.csv,7750-7b1f4943-8101-4bd8-866c-f3ae3dec94c1,first,0.4293583333333333,1
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-46-41-665,8,3,high noise,790439564036.csv,7750-7b1f4943-8101-4bd8-866c-f3ae3dec94c1,second,0.5940297619047619,1
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-56-54-310,8,3,high noise,745747129898.csv,4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,first,0.7997166666666663,1
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-11-56-54-310,8,3,high noise,745747129898.csv,4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,second,0.8713214285714285,1
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-12-41-492,8,2,high noise,364310212666.csv,3249-c7207757-8ab0-4e12-957e-5baff0da2c8a,first,0.8467916666666664,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-12-41-492,8,2,high noise,364310212666.csv,3249-c7207757-8ab0-4e12-957e-5baff0da2c8a,second,0.5957023809523806,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-12-41-492,8,2,high noise,364310212666.csv,9440-a04ecb59-cc7a-4fa2-9979-314a7ccea696,first,0.6363666666666675,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-12-41-492,8,2,high noise,364310212666.csv,9440-a04ecb59-cc7a-4fa2-9979-314a7ccea696,second,0.49005952380952406,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-2-14-79,8,2,high noise,710215174360.csv,6103-e4b49e40-65ef-4931-aa6a-fa86f023cc3f,first,0.5929749999999998,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-2-14-79,8,2,high noise,710215174360.csv,6103-e4b49e40-65ef-4931-aa6a-fa86f023cc3f,second,0.6055238095238094,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-2-14-79,8,2,high noise,710215174360.csv,6475-aaf786c6-cbed-4476-8ae8-beae68a2a37c,first,0.8324166666666667,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-2-14-79,8,2,high noise,710215174360.csv,6475-aaf786c6-cbed-4476-8ae8-beae68a2a37c,second,0.6667619047619048,2
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-37-13-890,8,3,high noise,117019667057.csv,7414-8956062c-9ee1-48c4-8175-cd136979e69f,first,0.6525500000000001,1
../../data/experiment3//experiment-2015-01-25-1/games/2015-01-25-12-37-13-890,8,3,high noise,117019667057.csv,7414-8956062c-9ee1-48c4-8175-cd136979e69f,second,0.7096547619047617,1
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,0171-1029a5dc-49c4-472f-afb4-a8ee29710366,first,0.7498416666666664,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,0171-1029a5dc-49c4-472f-afb4-a8ee29710366,second,0.7996607142857145,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,1865-7a79a07c-4145-4913-b7f5-53992f652b15,first,0.48906666666666637,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,1865-7a79a07c-4145-4913-b7f5-53992f652b15,second,0.6761726190476189,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,6585-ad3132ab-1c42-42df-bbe3-647145bef135,first,0.3799,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,6585-ad3132ab-1c42-42df-bbe3-647145bef135,second,0.5821309523809525,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,8049-88a14420-308c-4155-8349-898bfdce1a80,first,0.3439833333333333,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-35-52-592,8,3,high noise,791332189692.csv,8049-88a14420-308c-4155-8349-898bfdce1a80,second,0.6364404761904762,4
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-45-7-823,2,2,high noise,136029488407.csv,7421-97e7df93-20c8-451e-890a-c499cef70c63,first,0.5897083333333332,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-45-7-823,2,2,high noise,136029488407.csv,7421-97e7df93-20c8-451e-890a-c499cef70c63,second,0.6819880952380949,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-45-7-823,2,2,high noise,136029488407.csv,7749-9dea204c-cceb-4a5d-95b0-1628304b2f08,first,0.28903333333333314,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-45-7-823,2,2,high noise,136029488407.csv,7749-9dea204c-cceb-4a5d-95b0-1628304b2f08,second,0.29969576719576724,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-47-29-191,4,1,high noise,25809311075.csv,1905-1f606f5e-010e-4b33-ba37-c0d46f490606,first,0.7451583333333335,3
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-47-29-191,4,1,high noise,25809311075.csv,1905-1f606f5e-010e-4b33-ba37-c0d46f490606,second,0.7731785714285713,3
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-47-29-191,4,1,high noise,25809311075.csv,6617-d2699799-2f36-40e4-93a8-a87a99297228,first,0.6131166666666665,3
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-47-29-191,4,1,high noise,25809311075.csv,6617-d2699799-2f36-40e4-93a8-a87a99297228,second,0.5437202380952381,3
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-47-29-191,4,1,high noise,25809311075.csv,7325-63a9806a-2632-4991-a259-deeaeeb2f368,first,0.5552999999999999,3
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-47-29-191,4,1,high noise,25809311075.csv,7325-63a9806a-2632-4991-a259-deeaeeb2f368,second,0.6707023809523809,3
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-51-59-196,4,1,high noise,916630183113.csv,1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,first,0.35197499999999987,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-51-59-196,4,1,high noise,916630183113.csv,1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,second,0.6570892857142856,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-51-59-196,4,1,high noise,916630183113.csv,5636-259b2d8b-1e05-439b-905a-6f6ad632c5ae,first,0.41049166666666653,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-17-51-59-196,4,1,high noise,916630183113.csv,5636-259b2d8b-1e05-439b-905a-6f6ad632c5ae,second,0.7538620689655172,2
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-18-0-38-117,8,1,high noise,828798080561.csv,6830-6d4b704b-4487-4241-8220-7319d075c7da,first,0.6074583333333331,1
../../data/experiment3//experiment-2015-01-25-2/games/2015-01-25-18-0-38-117,8,1,high noise,828798080561.csv,6830-6d4b704b-4487-4241-8220-7319d075c7da,second,0.7738988095238095,1
../../data/experiment3//experiment-2015-01-25-3/games/2015-01-25-18-44-51-962,2,3,high noise,350363129284.csv,1837-9f4d71f0-ed0a-4ea6-a244-9da2d5045599,first,0.6065249999999999,2
