pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,11,visible,181.176,128.94,2.125,295,0.43000000000000005,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,11,visible,231.872,121.923,2.125,105,0.44999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,11,visible,384.113,124.519,2.125,32,0.26,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,12,visible,235.647,114.803,2.125,289,0.36,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,12,visible,179.123,129.49,2.125,255,0.45999999999999996,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,12,visible,233.925,122.473,2.125,105,0.44999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,12,visible,385.989,123.521,2.125,62,0.21999999999999997,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,13,visible,233.638,114.111,2.125,289,0.36,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,13,visible,177.07,130.04,2.125,255,0.48,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,13,visible,235.978,123.023,2.125,105,0.43999999999999995,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,13,visible,387.865,122.523,2.125,62,0.24,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,14,visible,232.389,112.392,2.125,324,0.33999999999999997,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,14,visible,175.017,130.59,2.125,255,0.51,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,14,visible,238.031,123.573,2.125,105,0.43999999999999995,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,14,visible,389.741,121.525,2.125,62,0.18999999999999995,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,15,visible,231.14,110.673,2.125,324,0.36,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,15,visible,173.389,131.956,2.125,230,0.48,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,15,visible,240.084,124.123,2.125,105,0.47,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,15,visible,391.617,120.527,2.125,62,0.17000000000000004,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,16,visible,229.891,108.954,2.125,324,0.38,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,16,visible,172.839,134.009,2.125,195,0.54,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,16,visible,242.137,124.673,2.125,105,0.51,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,16,visible,393.493,119.529,2.125,62,0.20999999999999996,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,17,visible,230.223,106.855,2.125,9,0.32999999999999996,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,17,visible,172.289,136.062,2.125,195,0.5800000000000001,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,17,visible,244.19,125.223,2.125,105,0.53,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,17,visible,395.168,118.221,2.125,52,0.18999999999999995,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,18,visible,231.338,99.818,7.125,9,0.32999999999999996,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,18,visible,171.739,138.115,2.125,195,0.61,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,18,visible,246.243,125.773,2.125,105,0.53,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,18,visible,396.447,116.524,2.125,37,0.16000000000000003,0.05
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,19,visible,232.453,92.781,7.125,9,0.27,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,19,visible,172.289,140.168,2.125,165,0.5900000000000001,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,19,visible,248.296,126.323,2.125,105,0.53,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,19,visible,397.412,114.631,2.125,27,0.16000000000000003,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,20,visible,232.785,90.682,2.125,9,0.27,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,20,visible,172.839,142.221,2.125,165,0.6,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,20,visible,250.349,126.873,2.125,105,0.52,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,20,visible,398.208,112.661,2.125,22,0.15000000000000002,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,21,visible,233.117,88.583,2.125,9,0.29000000000000004,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,21,visible,173.389,144.274,2.125,165,0.6,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,21,visible,252.402,127.423,2.125,105,0.55,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,21,visible,398.467,110.552,2.125,7,0.10999999999999999,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,22,visible,232.355,86.599,2.125,339,0.24,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,22,visible,173.939,146.327,2.125,165,0.61,0.19
