pid,tick,latency
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,91,180.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,92,117.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,93,61
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,94,59.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,95,60.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,96,60
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,97,56
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,98,79.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,99,80.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,100,76
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,101,63.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,102,76.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,103,70
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,104,56.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,105,58.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,106,57
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,107,69
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,108,82.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,109,69.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,110,63
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,111,62.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,112,55
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,113,60
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,114,56.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,115,58
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,116,56
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,117,55
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,118,64
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,119,55
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,120,66
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,121,83
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,122,64.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,123,67.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,124,59.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,125,54
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,126,58.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,127,60.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,128,57.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,129,59.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,130,66.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,131,79.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,132,149
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,133,91.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,134,57.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,135,66
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,136,77.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,137,62.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,138,268
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,139,205.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,140,142.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,141,79.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,142,61
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,143,59.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,144,71.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,145,101
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,146,82.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,147,87
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,148,92.5
2902-911d1d92-f2cc-45e4-a622-e1dfac84fada,149,113.5
