pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,48,visible,248.74,163.128,7.125,325,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,49,visible,249.361,156.03,7.125,5,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,50,visible,253.941,150.572,7.125,40,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,51,visible,260.958,149.335,7.125,80,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,52,visible,267.415,152.346,7.125,115,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,53,visible,270.426,158.803,7.125,155,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,54,visible,268.582,165.685,7.125,195,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,55,visible,266.738,172.567,7.125,195,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,56,visible,264.894,179.449,7.125,195,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,57,visible,263.05,186.331,7.125,195,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,58,visible,261.206,193.213,7.125,195,0.58,0.01
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,59,visible,259.362,200.095,7.125,195,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,60,visible,257.518,206.977,7.125,195,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,61,visible,259.635,207.162,2.125,95,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,62,visible,261.138,208.665,2.125,135,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,63,visible,261.507,210.758,2.125,170,0.58,0.02
